site,title,title_en,year,reviewer,review,review_length,rating
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,Hazel,"끝까지 다 본 결과로 말하자면 재미없었다. 좀비물을 정말 좋아하는 덕후로써 좀 화가 날 지경이다. 좀비물인데 좀비가 중요한 게 아님… 제일 화 나는 포인트 몇 가지를 적어봤다.  1. 이미 소재 자체가 좀비라서 충분히 자극적인데 1화 처음부터 애 패는 장면이다. 적당히 보여줬으면 모르겠는데 적나라해서 너무 불쾌했음  2. 학교 폭력이 그 다음에도 지속되고 임대 아파트 얘기 나오고 갑자기 성폭력에 불법 촬영까지 적나라하게 나옴. 굳이 이렇게까지…? (이때 진심 정 다 떨어짐)  3. 잠깐의 모성애 장면을 넣을 거라고… 사용하는 장치로 학생이 공원 화장실에서 애 낳는 장면이 나옴. 너무나 잠깐 나오고 말아서 왜 굳이 이걸 넣었는지 모르겠음  4. 등장인물들을 다 커플만들 기세로 다 엮어댐…  5. 악역인 귀남과 나연이는 어떤 서사도 없고 그걸로 그냥 끝임… 그렇다고 선역이 매력적이지도 않음  6. 2번의 피해자 학생을 굳이 넣은 이유가 있겠지 했는데 딱히 서사도 없고 슈퍼 휴먼을 표현하기 위한 소비 밖에 없음… 왜 굳이 성폭력 장면을 넣었는지 더 이해가 안됨…  7. 이런 모든 장면들이 좋게 말하자면 시의성을 주고자 넣었다고 생각하려 했지만 끝까지 보고나니까 그것도 아닌 것 같음…  결론적으로 좋아 보이는 것(학교(성)폭력, 가난 혐오, 모성애, 부성애, 권력, 슈퍼 휴먼 등등)을 너무 다 때려 넣으니 내용이 중구난방이 됨.  게다가 자극적인 장면도 최대한 넣어서 화제성도 가져가고 싶었던 것 같고…  대사나 연출이나 촌스럽고… 총체적 난국이었다.",762,0.5
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,삐빠뽀,"연출 누가 한거냐 진짜.. 웹툰에는 나오지도 않는 쌩뚱 맞은 억지스러운 설정(옷 벗긴 동영상 찍어서 유포한다고 협박)하며.. 그냥 고구마 100개 먹은 답답함 여기에 로맨스는 왜 넣는건지.. 이럴거면 웹툰 스토리 그대로 만들지 넷플 오리지널 이때까지 나온건 모두 웬만해선 재밌게 봤는데 진짜 최악임 여주는 여전히 아무것도 할 줄 아는 것 없고 민폐캐로 나옴. 여주가 좀비를 친구라고 살리려고 하는 장면에서 학을 뗐음. + 여기에 관심이 많으시길래 추가해서 적습니다.  어이가 없어서 남깁니다. 끝까지 다 봤습니다. 왓챠가 뭐 하는 곳인가요? 각자 취향 존중하면서 다른 사람들은 어떻게 생각하는지 보기도 하고 자신과 같은 생각을 가진 사람의 후기를 보면 공감도 하고 그러는 공간 아닌가요? 자신의 생각과 다르다고 해서 신고를 하고, 코멘트를 비공개로 만들어 버리고.. 제가 무슨 잘못이라도 했나요? '<지우학>을 재미없게 봤다는 죄'?라도 됩니까? 자신이 재밌게 보셨으면 재밌게 봤다고 평가를 하시면 되는거잖아요. 제 감상평에 대해서 반대 의견이 있으시면 ""나는 ~점을 ~이렇게 봐서 오히려 좋았다.""라고 쓰시던지요. 왜 저를 욕하세요? 집단 평점 테러라니 정말 말 같지도 않습니다. 어떤 점에서 그런 망상을 하게되셨는지는 모르겠습니다만, 본인의 생각을 주장하시려면 남의 의견도 존중해주세요.",666,0.5
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,윤형진,웹툰 이름 걸고 망쳐서 0.5점줌. 특히 개연성이 가장 큰 문제인데ㅋㅋㅋㅋㅋ 제일 이해안가는게 주인공 엄마가 하루종일 좀비화 된 인간봤음에도 멀쩡히 운동장 서성대는 아들친구한테 해맑게 접근하는게 레전드. 진짜 연출자 귀싸대기마려움.. 언제까지 씨알도 안먹힐 신파를 개쳐바를건지 이해가 가지않음..,165,0.5
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,Hailey,지독한 나라~ 고등학생한테서도 모성애를 찾고 자빠졌다 ㅎ 졌다 졌어~ ㅋ,40,0.5
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,힘없는감튀,1화부터 미성년자 옷벗기기 금지 미성년자 강간 은유하는 씬 금지 부잣집 여고딩 핑크가디건 입혀서 싸갈쓰가 바갈쓰인거 금지(경수한테 대체 왜그래?ㅠ) 여자 주인공 민폐캐 만들기 금지 미성년자한테 모성애 찾기 금지 줄 끊어질라하는데 재미없는 티키타카 금지 여자 캐릭터 흑화하는데 갑자기 틴트바르는거 금지  • • • 원작이 그렇든 아니든 불필요한 장면은 빼고 시대에 맞게 각색하는게 창작자의 의무이자 능력 아닌지... 담임쌤 사랑해요  + 뒤로 갈수록 점점 재밌어지는 듯해서 씹노잼 폐급 같은 심한 단어는 쓰고싶지 않다 그치만 워킹데드나 킹덤이랑 비교하게되는건 사실.. 아부지는 ㅠㅠㅠ눈물 세방울 흘림 그리고 이름들이 참 특이하고 이쁘다 부럽.. ㅎ소주는 이상함,368,2.0
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,손 건,"좀비를 원했지, 박화영을 원하지 않았다.",22,1.5
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,몬테로소의 붉은벽,"부산행처럼 긴박함도 주고 싶고, 엑시트처럼 생존법도 알려주고 싶고, 하이틴물처럼 풋풋함도 주고싶고... 욕심이 너무 많은 것 같다.",73,2.0
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,민주,킹덤은 봄이었읍니다....,14,1.0
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,윤제아빠,좀비영화나 드라마는 내 취향이 아니라 쳐다도 안봤는데 어쩌다 틀어놓고 보니..밤새 다 봤다. 뭐랄까..좀비는 거들뿐이다. 12부가 좀 긴듯하지만 꽤나 짜임새를 갖췄다. 민감하고 자극적인 요소들을 워낙 많이 갖다써서 말들도 많겠지만.. 이 모든게 없는 이야기를 하는건 아니니..난 괜찮게 봤다. 시작부터 끝까지 확실한 서사를 갖췄고  큰 내러티브와 개별적 내러티브내의 플롯도 꽤나 꼼꼼하다. 많이 갖다 쓴 부분도 있지만..많이 준비 한 부분도 있다고 말할 수 있다. . . #좀비가나타나서좀비만피하는 #두서없는좀비물과다르게하는 #나름고민도많고잘만든듯하다 #뭔혐뭔혐뭔혐자꾸들해대는데 #전체서사를흔들정도는아니다 #좀비는이제한국장르인것같다 #고딩들의시선으로바라보니까 #대사도유치하고싸보이겠지만 #고딩이라서살아남은거아닌가 #너무많은이슈를담느라좀길다 #담백하게삼화정도는줄였어도 #더쿨한좀비물이되지않았을까,443,4.0
watcha,지금 우리 학교는 시즌 1,All of Us Are Dead Season 1,2022,hiscode,아직 보지 못했지만 악평이 이정도면 전세계 1등 맡아논거임 왓챠 전문가들의 악평이 초반에 많으면 대박 오징어게임도 초반에 2점대였고 악평으로 도배되었었음 ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ  위에는 어제 쓴글이고요 29일 23시자로 어제 넷플릭스 tv show 부분 글로벌 1등입니다,167,4.0
