site,title,title_en,year,reviewer,review,review_length,rating
watcha,택배기사,Black Knight,2023,배추입니다,"제발.. 싸우기 전에 씨익 웃지마 세계관 설명 나레이션으로 좀 하지마 멕시코 갱처럼 피어싱, 문신 하지마 이런 거 만들지 마",69,1.0
watcha,택배기사,Black Knight,2023,캡틴부메랑,아 또 한국형 디스토피아야 ㅡㅡ (감상 전)  어떻게 사람 이름이 멍 멍멍 무쓸모 이 드라마가 멍 멍멍 무쓸모  그리고 또 올려치기 당하는 승리호 이대로 가면 우주명작 되겄네 (감상 후),104,0.5
watcha,택배기사,Black Knight,2023,윌쓴,와…1화 20분동안  나레이션 세계관 설명 + 뇌절 캐릭터들 + 영구와 땡칠이급 액션 + 어색한 연기.. 이걸 다 해내다니!,69,1.0
watcha,택배기사,Black Knight,2023,김완수,50년 뒤 미래로 떠올린 모습이 고작 손등에 QR코드 새기는거라니…..,39,0.5
watcha,택배기사,Black Knight,2023,윤제아빠,아포칼립스 세상의 구원보다 시급한건 내 눈동자를 잠식하는 눈꺼풀이 급선무 . . #안타깝지만이번sf도실패인듯 #세련됐지만창의적이지못하다 #설득없이펼쳐낸그들만의리그 #차라리배달의고난을그려내지,105,1.0
watcha,택배기사,Black Knight,2023,BIGMAC_bro,"좀 스타일리시 하게 세계관을 설명 못하나… 언제적 내레이션… 그냥 사람들의 대화만으로도 정보를 줄 수 있잖아… 전체적인 연출도 그렇고…  그리고 미술이나 세트 등에서 고민을 많이 한 흔적이 안보임… 제작기간이 많이 타이트 했던지, 외주 비용을 아낀건지…  큰 기대는 안했지만  적어도 넷플릭스 오리지널과 주목받는 K컨텐츠의 이름표 아래에선 더 심혈을 기울여서 제작해야 되지 않나 ㅠ  단점이 많이 보이는 작품… 그래도 SF덕후로써 도전정신에 별 반개 더 ",254,2.0
watcha,택배기사,Black Knight,2023,동 진리 병론가,김우빈과 송승헌이라니! 믿고 거른다!,20,0.5
watcha,택배기사,Black Knight,2023,리얼리스트,"""왜 세상이 디스토피아냐? 지켜주고 싶게""",23,0.5
watcha,택배기사,Black Knight,2023,방구석로맨스전문가,영도야 널 향한 사랑으로 개노잼 드라마와 영화를 몇 개나 봐야 하는지 모르겠다.. 사랑은.. 자해다…,56,1.5
watcha,택배기사,Black Knight,2023,지예,이쯤되면 아무래도 넷플 내에 쿠데타 세력이 있는거 아닌지. 차라리 정이랑 콜라보를 해라. 천명이 자라는 로봇을 개발했다고 해. 실은 모든게 메타버스 세계관이였다고 하던지. 믿을 수 없다. 뭔데 이게 뭔데. 멋져야된다는 강박에 시달리는 쇼미더머니 래퍼가 꾸는 개꿈하날 찍은듯한... 어휴 내가 막 죄송하네... 미쳤다. 항마력 원탑. 진짜 너네 아무도 못이겨.,200,1.0
watcha,택배기사,Black Knight,2023,P1,택배기사님들을 우롱하디마라!! 이렇게 재미없는 택배기사가 어디있노,36,2.0
watcha,택배기사,Black Knight,2023,Random cul,김우빈님 빼고 배역 배송오류. 강한 설정에 어설픈 진행.,31,1.0
watcha,택배기사,Black Knight,2023,Gooson,택배는 뜯기 전 까지만 설레인다. 이 이야기도 플레이를 누르기 전까지만 설레인다.,45,2.5
watcha,택배기사,Black Knight,2023,대연뎨녈,아…제발.. 도대체 뭘 하고싶은건데? 넷플릭스가 자선 사업가도 아니고…,39,0.5
watcha,택배기사,Black Knight,2023,건빵🥖,총체적 난국  - 1화 보다가 하차,19,1.0
watcha,택배기사,Black Knight,2023,미상.,나름 미술은 자연스럽다. 하지만 캐릭터 빌딩이 부족한 상황에서 인물들의 동기나 행동은 전형성을 벗어나지 않고 엄청 평면적으로 움직이며 매력이 떨어진다. [2023. 5. 14 일요일],102,0.5
watcha,택배기사,Black Knight,2023,Jae Ok Kim,1.5화까지 보고 있는데.. 더 볼 용기가 나질 않아.. 용기 좀 배달해줘…,42,1.5
watcha,택배기사,Black Knight,2023,mozza,오..... 어쩜이렇게 지루하게 만들었을까 그놈의 한국형 디스토피아는 왜 죄다 꾀죄죄하냐고,50,3.0
watcha,택배기사,Black Knight,2023,하누애비,내 이랄줄 알았다,9,0.5
watcha,택배기사,Black Knight,2023,Keep,설명하려는 최소한의 노력도 없이 설득하려는 눈꼽만큼의 의지도 없이  그냥 그런거야 넘어가줘 제발 뭘 굳이 따지고 그래 싹싹 비는 불성실한 이야기,80,1.0
watcha,택배기사,Black Knight,2023,시리우스,설국열차 냄새도 나고 매드맥스 분노의 도로 냄새도 나고.  세상의 진실. 바꾸려고 나서는 영웅 택배기사5-8 김우빈. (사심으로 별셋.) 한결같은 송승헌. 연기가 늘 같다. 6화까지 못 보겠다. 오늘은 여기까지 4화에서.,123,3.5
watcha,택배기사,Black Knight,2023,WatchaPedia,내 시간 돌려주세요...... 송승헌은 역시 믿거인가,29,0.5
watcha,택배기사,Black Knight,2023,미지의세계,"음향, 카메라연출 다 구리다. 조연배우 캐스팅이 배역에 어울리지 않고 연기좋은 배우들까지도 발연기처럼 연출이 너무 구리다. 시대배경은 흥미로운 소잰데 이렇게 재미없게 찍었다고?",98,1.0
