site,title,title_en,year,reviewer,review,review_length,rating
watcha,체인소 맨,Chainsaw Man,2022,우형,그놈의 가슴타령만 아니면 볼만할텐데,19,2.5
watcha,체인소 맨,Chainsaw Man,2022,재밌으면 기억을 잃는 사람..,재밌긴한데… 일본은 가슴없으면 애니 못만드나요?,26,4.0
watcha,체인소 맨,Chainsaw Man,2022,DarthSkywalker,쿠엔틴 타란티노의 각본을 가지고 드니 빌뇌브식 연출을 한듯한 이상한 모양새.  점점 날이 갈수록 까이는 나카야마 류.,65,3.0
watcha,체인소 맨,Chainsaw Man,2022,캡틴부메랑,하찮아서 쿨한 건지 쿨한 척하는 하찮음인지 잘 모르겠지만 제작진이 열심히 한 건 알겠다 고생한 거 알아달라고 느려터지게 만들어놨네,72,0.5
watcha,체인소 맨,Chainsaw Man,2022,콩까기의 종이씹기,"미쳐야지만 살아남을 수 있는 세상이라서.  +) ﻿마파 10년... 충분히 책임질 만한 것 같은데요? ㅋㅋㅋ  눈이 낮아서 그런지 작화에서는 아쉬운 점이 아예 없었고, 오히려 <주술회전>보다도 만족스러운 퀄리티였다. 가장 만족스러웠던 건 이야기인데, 의외의 지점에서 예측을 벗어나는 전개가 무척 깊은 인상을 남겼기 때문이다. 특히 중반부에 조연들이 한 번 물갈이가 되는 장면은 망상 장면인가 싶었을 정도로 전혀 예상치 못한 순간에 벌어지기 때문에 적지 않은 충격을 준다. 다만, 이렇게 강렬하게 포문을 연 스타트에 비해 마무리가 되는 12화가 너무 다급하게 끝난 게 아닌가 하는 아쉬움이 남는다. 아마 2기를 위해서 일부로 힘을 뺀 것 같은데 솔직히 좀 허망했다.  그래도 곳곳에서 기존 소년 만화의 클리셰를 과감하게 뒤흔드는 대목들이 너무 좋았기 때문에 <체인소 맨>을 수작이라 부르고 싶다. 이걸 가장 크게 느낀 부분이 수련 장면인데, 본래 소년 만화에선 이 수련 장면 하나만으로도 20-30분을 소모하지만 <체인소 맨>은 그보다 한참 적은 분량이고 그마저도 개그신으로 연출한 게 대부분이다. 주인공 캐릭터들도 정의나 신념을 부르짖는 이상적인 인물들이 아닌 어떻게든 아등바등 살려고 발버둥 치는 현실적인(?) 애들이 대부분이라 오히려 감정 이입을 하기가 더 쉬웠다. 하루에 다 몰아서 봤을 만큼 끝내주게 재미있는 애니메이션이었다. 2기가 빨리 나왔으면 좋겠다...",709,3.5
watcha,체인소 맨,Chainsaw Man,2022,권정우,"데드풀을 재해석도 없이 그냥 무작정 시카리오 처럼 연출했다. . 감독은 공각기동대, 조상님 만만세 처럼 만들고 싶었던거 같은데, 본인의 기본적인 연출 실력이 그에 한참 못 미친다는 것을 모르는 듯. . 맥락없는 롱 쇼트 남발, 미숙한 편집 타이밍, 무시된 선상원근법과 영화적 연출하고싶다면서 렌즈 왜곡도 표현 못했다. 이런거 다 해내면서 진짜 영화적 연출을 하는 아오키 에이, 나가이 타츠유키, 이토 토모히코 보다도 기본 지식이 없어보인다. 아니면 능력이 안되거나. . 작화랑 3D CG를 떠나서 콘티를 비롯한 연출 기반이 부실하다. 이런거 다 연출이 잘 짜여져있으면 오히려 좋아보인다. 당장 이런 기법 선구자인 오시이 마모루 작품만 봐도 절대 어색하지 않다. 더 이전이고 더 예전이고 스태프는 체인소맨이 더 화려한데도 말이다. 솔직히 말하면 이 작품은 어떤 마술의 금서목록, 마르두크 스크램블 처럼 작화만 좋고 연출은 기본적인 기술도 소화 못하는 하수의 애니메이션이다. 더 확실한 근거는 이 작품은 전문 연출가보다 작화를 하는 애니메이터들이 콘티를 했다. 애니메이터 출신 연출가들도 많지만, 본작은 그것보단 작화와 연출 투잡을 하는 사람들이 참여해서 좀 다르다.(이게 양날의 검인데, 감독의 가이드라인과 관리가 잘되어있으면 엄청난 연출이 나오기도 한다.) . 여기까지는 1~3화, 5화, 7화, 8화, 10화가 해당되는 이야기. . 그럼에도 단일 회차만 놓고보면 주목할만한 에피소드도 있다. 대표적으로 4화는 참 훌륭했다. 드디어 감독이 하고싶은게 아니라 그동안 자기가 하던걸 했다. . 6화와 9화 12화도 인상깊은 지점이 많다. . 이렇게 화마다 롤러코스터를 타는 애니는 소드 아트 온라인 엘리시제이션 이후로 상당히 오랜만에 본다. 이건 그 만큼 감독의 관리가 미숙하다는 증거면서도 참여하는 인물들은 뛰어나다는 뜻이 된다. . 완결까지 본 시점에서 전체적인 연출은 사실 컷만 자르고 놓고보면 그림은 많다. 그렇다 연출 자체가 수준이 떨어지는게 아니다.(1화, 3화, 5화는 그마저도 수준 미달이 맞다.) 그럼에도 작품에 전반적인 각색과 재해석 없이 큰 틀은 원작에서 다 가져와놓고(갑자기 중요한걸 스킵하질 않나) 활극같은 작품을 냅다 드니 빌뇌브나 제임스 그레이 처럼 유머하나 없이 느릿 느릿하게 고조시키고 무겁게 연출하는 방향은 좋은 선택이 아니었다. 무엇보다 전체적인 연결과 만듦새가 좋지도 않다. 이런 점에서 본작의 감독 나카야마 류는 욕심만 많고 템포는 더럽게 느린데다가 특수효과, 편집에서도 미스가 보인다는 점에서 '''잭 스나이더'''와 다를 바가 없다. . 이렇게 혹평했지만 3.0이라는 준수한 점수를 준 이유는 애니메이션 자체의 장점이 아니다. 그럼에도 원작부터 이미 완성이 된 작품이고 그걸 각색없이 잘 옮기기만 했으니 평균이상의 재미가 나온다. 캐릭터들 하나하나가 매력적이고, 성우들 연기도 4화 이후부터는 피드백을 수용했는지 특유의 감독이 인터뷰에서 강조하고 자랑한 건조한 디렉션이 사라졌다. 재미가 있고 시간이 아까운 작품은 아니니 추천은 충분히 할 수 있는 작품.",1507,3.0
watcha,체인소 맨,Chainsaw Man,2022,Gooson,원대한 꿈이 아닌 식욕과 성욕의 작은 욕망에 꿈틀대며 살아가는 덴지의 생존본능,43,4.0
watcha,체인소 맨,Chainsaw Man,2022,EH C,원작은 쿠엔틴 타란티노인데 정작 나온건 드니 빌뇌브가 되고싶은 나카야마 류,41,3.0
watcha,체인소 맨,Chainsaw Man,2022,정웅기,모든 면에서 부족하고 실망스럽다. 다시는 대들지마라.,29,2.0
watcha,체인소 맨,Chainsaw Man,2022,무비남,"가벼움의 무거움, 무거움의 가벼움. 나른하고 덧없는 삶의 감각, 욕망들.",40,4.0
