site,title,title_en,year,reviewer,review,review_length,rating
watcha,D.P. 시즌 1,D.P. Season 1,2021,석미인,4층에서 뛰어내린 아이가 있었다. 거기가 자대 가장 높은 곳이었니까. 고참들이 담배피며 그랬다. 야 걔 뛰어내릴 때 날개짓 했을까. 한 고참이 파닥파닥 흉내를 내서 같이 웃었다. 적응 못하는 애라고 생각했으니까. 뭐라도 했었어야 했는데. 벌써 20년 가까이 지난 일이 되었다.,154,5.0
watcha,D.P. 시즌 1,D.P. Season 1,2021,Ziwoo,"◆ 참혹한 엔딩의 이유  최종화(6화 '방관자들')의 마지막 장면을 확인하고 난 후, 우리나라에 있는 군인 사형수들의 존재가 궁금해졌다. 현재 국군교도소에 수감된 네 명의 사형수는 모두 총기난사범이다. 이들은 각각 1996년, 2005년, 2011년, 그리고 2014년에 범행을 일으켜 적게는 3명, 많게는 8명의 군인을 살해했다. 앞선 세 사람은 부대 안에서, 가장 최근의 한 사람은 탈영해 일을 벌였다는 차이가 있다.  군인 범죄자들이 1년 6개월 이상의 징역형을 선고받으면 군인 신분을 상실하며 민간교도소로 옮겨지는 것과는 달리, 사형을 선고받으면 '형이 집행되기까지' 군교도소에 머물러야 한다. 이들에겐 교수형(형법 제66조)이 아닌 총살형(군형법 제3조)이 집행되어야 하고, 총살을 위한 시설을 갖춘 장소로는 군교도소가 유일하기 때문이다. 대한민국에서 '남성'으로 태어나, '군인'으로 범죄를 저지르고, 끝에 가 '군인'으로 죽게 될 사람들. 넷플릭스 오리지널 시리즈 <D.P.>는 바로 이 '군 사형수'가 탄생했던 몇 년 전 그해, '군대 가서 참으면 윤 일병, 못 참으면 임 병장 된다'는 끔찍한 말이 농담이자 삶의 지혜가 되어버렸던 계절, 2014년으로 발걸음을 옮긴다.  <D.P.>는 누리끼리한 노스탤지어의 색감으로 이야기를 시작한다. 씨스타의 'Touch my body'가 흘러나오고, 출시와 함께 메가히트를 기록한 '허니버터칩'은 슈퍼마다 품절이다. 박근혜 당시 대통령이 TV에 나와 전우의 인격과 군 인권이 보장되는 병영을 만들자 연설한다. 군탈 담당관 범구(김성균)를 만나 군무이탈 체포조가 된 준호(정해인)와 호열(구교환)은 자신들이 ""지구를 구하""는 아니, ""탈영범을 잡""는 아니, ""사람을 살리""는 일을 맡게 되었다는 사실을 점점 깨닫는다.  콤비의 추적과 조사가 이어지고 탈영병과의 만남과 체포가 진행되며, D.P.의 일은 자살충동자를 구하는 일이 되고, 폭력과 부조리의 진상을 폭로하는 일이 되고, 결국은 조금씩, 또 조금씩 ""군대를 바꾸는"" 일이 된다. 특출나게 선하지는 않더라도 지극히 상식적인 사고를 할 줄 아는 두 사람이 D.P.로 활약하는 에피소드가 이어지며 군대 같은 곳도 이젠 나아질 수 있을 것이라는 믿음이 쌓여간다. D.P.는 탈영병을 데리고 반드시, 그리고 무사히 돌아온다는 믿음과 함께.  하지만 <D.P.>는 최종화에 이르러 이 순수한 믿음을 실현해주는 대신 그것을 꼬꾸라뜨리기로 선택한다. 드라마의 2014년은 현실의 2014년을 극복할 방법을 찾을 수 없었던 것이다. 자신이 당한 가혹 행위를 후대에 물려주지 않겠다던 조 일병의 선의도, 부하들이 사람을 쏴 죽이는 경험을 하지 않게 막으려던 박 중사의 항명도, 가해자와 방관자를 깡그리 조사해 피해자의 억울함을 풀어주겠다는 한 상병의 답 없는 낙천도, 대한민국 군대가 내놓은 참담한 결말들을 바꿀 순 없었다. 주인공 준호의 전역은 아직도 500일이 넘게 남았고, 물론 나는 두 번째 시즌을 기대하고 있다.하지만 돌아올 다음 시즌, 그 곳에서도 대한민국의 군인은 다치고, 자살하고, 끝내 총기를 난사해 또 다른 군인들을 죽이는 사형수가 되어있을 것만 같다. 강제 징병이라는 지금 당장의 현실부터 바뀌지 않는다면 말이다.  저작권자 ⓒ '대중문화컨텐츠 전문가그룹' 엔터미디어, 무단전재 및 재배포금지  https://entertain.v.daum.net/v/kcAg2Mn3Ib?f=m",1673,4.5
watcha,D.P. 시즌 1,D.P. Season 1,2021,영화는 나의 힘,우리가 <진짜 사나이>를 보고 웃고 있었을때 <진짜 군대 >에서 일어난 이야기...,46,4.0
watcha,D.P. 시즌 1,D.P. Season 1,2021,P1,군대가 아니더라도 이 세상엔 수많은 석봉쿤들이 존재한다.,31,4.0
watcha,D.P. 시즌 1,D.P. Season 1,2021,..,"야, 봉디 쌤!! 떡볶이 먹으러 가야지... 거기서 왜 그러고 있어...",40,5.0
watcha,D.P. 시즌 1,D.P. Season 1,2021,Kk,"군인이 아니어도 저마다의 군대 트라우마가 있다. 여자친구에게 전하는 입대 소식, 입대날 태어나서 처음보는 아버지의 눈물, 몸약한 막내아들 걱정에 밤을 지새우는 어머니, 어렵게 따낸 훈련소에서의 포상전화를 받지 못한 여자친구의 죄책감 등. 알게모르게 우린 군대에 대한 트라우마를 하나씩은 갖고 살아간다. . 내가 입대를 해야하만하는 근거에 대해 누구도 명쾌하게 설명해주지 못한다. 끌려오자마자 끌려왔냐고 되묻는 조교들. 조교들도 끌려왔으면서.. 왜 우리가 군대에 가야했을까. 나라를 지키기 위해서? 빨갱이 잡으려고? 우리 가족을 지키려고? 가장 그럴듯한 이유인 안보문제로 억지로 납득을 한다한들, 부대에서 돌아가는 방식은 그 이유를 채워주지 못한다. 내가 군번을 외우지 못해 기합을 받고 얻어터지는게 북한이랑 무슨 상관이있으랴. 유치하게 우유에 제티 타먹지 못하는게 대체 북한이랑 무슨 상관이 있으랴. 국물에 밥 말아먹지 말라는게 군기와는 무슨 상관이고 북한이랑은 무슨 상관이 있었겠나. . 또 우리는 이런 거시적인 피해자이지만 면밀히 살펴보면 가해자이자 방관자이다. 누구나 이병때는 포부를 가진다. 내가 선임이 되면 이 부조리들을 갈아엎으리 하고. 그렇지만 부조리의 시스템은 천천히 나를 적셔간다. 내 다짐과는 상관 없이,  제대로 할 줄 아는게 하나없는 저 일병의 꼬라지를 보고 있자면 울화통이 터진다. 그때 먼저 떠오르는 것은 내가 당해왔던 방법들이다. 그리고 그 일병이 다른 이에게 당하고 있다한들, 내 마음속에는 이미 저 폐급때문에 오죽 화났으면 저랬을까라는 검은 마음들이 피어있다. . 그래서 예비역, 민방위들은 저마다의 방어기제를 안고 살아간다. 내 2년이 마냥 헛된 시간만은 아니었다고. 가장 빛나는 청춘의 시간들을 우리는 그래도 애국을 위해, 나라의 안보를 위해 이 한몸 바쳤다고 생각해야 그나마 덜 억울하지 않겠나. 왜 아무도 우리의 희생에 정당한 보상을 생각하지도 않는데 나라도 이렇게 생각해야 미치도록 아까운 그 시간들이 합리화가 되니까. 또 방관하고 내가 저질렀던 죄들이 희석되니까. . 옆소대에 흔히 말하는 그런 폐급이 있었다. 뭐 하나 제대로 하지 못하는 어벙벙한 그런 사람. 또 사회성 하나 없는 그런 사람. 누가봐도 이 사람은 군대에 와서는 안되는 사람이었다. 그 소대 사람들은 밤 10시가 지나면 그 폐급을 보일러실에 데려가 폭행하는 일이 잦았다. 그 폐급이 상병 진급하는 날, 그 폐급의 침대 밑에서 커터칼이 발견되었다. 그 날이 되어서야 간부들은 조사를 시작했다. 지들도 다 알고있었으면서.. 오히려 그런 분위기를 종용했으면서.. 문득 그 사람이 많이 떠오른다.",1285,4.5
watcha,D.P. 시즌 1,D.P. Season 1,2021,진입금지,현재 민방위 군번들은 보지마라....1화부터 ptsd온다. 농담아니다......  보려면 배속기능키고봐  2화도 오니까 조심  3화부터 볼만하다. 구교환 배우때문에 그나마 힐링됨  대부분이 실화라는 사실이 너무 가슴아프다  조현철 배우의 연기는 진짜다,140,4.0
watcha,D.P. 시즌 1,D.P. Season 1,2021,지예,남잔 군대 갔다와야 사람된다 그러는데 다 개소리 같다. 담배불 댕길 줄도 모르는 스물에 참는 것도 모자라 행하는 법부터 배우는데 무슨. 도망칠 수도 없어 익숙해진 개인이 모여 이룬 사회에 미래가 있을까. 개인 간의 구조(rescue)가 사회적 구조(structure)를 만드는 세상이 되었으면.,164,4.0
watcha,D.P. 시즌 1,D.P. Season 1,2021,unknown,"1962.07 - 최영오 일병 살인 사건 1984.06 - 조준희 일병 월북 사건 1985.02 - 제28보병사단 화학지원대 총기난사 사건 1987.12 - 정연관 상병 구타 사망사건 1988.10 - 이길우 병장 사건 1989.08 - 해병대 6여단 탈영 총기난사 사건 1989.12 - 평일도 129초소 총기난사 사건 1993.04 - 혜화동 무장 탈영병 총격 난동사건 1994.09 - 53사단 장교 무장탈영 사건 1994.10 - 제26기계화보병사단 총기난사 사건 2002.09 - 수도방위사령부 함광열 이병 사망 사건 2002.09 - 함광열 이병 의문사 사건 2005.01 - 논산 육군훈련소 인분 사건 2005.06 - 530GP 사건[7] 2005.10 - 노충국 사건 2008.06 - 최일병 보일러실 자살 사건 2010.07 - 제9공수특전여단 안준현 하사 식물인간 사건 2010.07 - 황인성 이병 투신 자살 사건 2011.07 - 강화도 해병대 동료 총격 사건 2012.02 - 제15보병사단 구상훈 이병 가혹행위 은폐 사건 2012.10 - 제15보병사단 오 대위 성추행 자살 사건 2013.07. - 김지훈 일병 자살 사건 2014.04. - 제28보병사단 의무병 살인사건(윤일병 사건) 2014.05 - 제1전투비행단 가혹행위 은폐 사건 2014.06. - 제22보병사단 총기난사 사건 2014.06. - 해병대 1사단 소변기 핥기 가혹행위 사건 2014.07. - 이상병 자살 사건 2014.09. - 제1공수특전여단 전기고문 가혹행위 사건 2015.05. - 내곡동 예비군 훈련장 총기 난사 사건 2015.05. - 30대 예비군 모의훈련 중 실탄 관통상 사건 2015.09. - 철원 GP 가혹행위 자살 사건 2015.11. - 해병대 교육훈련단 가혹행위 안면신경 손상 사건 2016.02. - 제6보병사단 GP 박일병 가혹행위 자살 사건 2016.08. - 육군 특전사 이병 차량 이탈 아파트 투신 사건 2016.09. - 해군 헌병 러시안 룰렛 가혹행위 사건 2017.05. - 해군 대위 자살 사건 2017.07. - 제22보병사단 고필주 일병 가혹행위 투신 자살 사건 2018.07 - 육군 72사단장 여군 성추행 사건 2018.08. - 해병대 대령 여군 성추행 사건 2018.11 - 여자소대장 모욕 사병 징역 사건 2018.11 - 양구 GP 일병 총기 사망 사건 2018.11 - 20전투비행단 일병 자살 사건 2019.01 - 777부대장 여직원 성추행 사건 2019.08 - 육군 7군단 인권침해 사건 2020.04 - 군사경찰대대 신병 집단구타 사건 2021.01 - 제22보병사단 병사 폭행 사건 2021.05 - 성추행 피해 공군 부사관 사망 사건 아이러니한 점은 군대의 썩어빠진 부조리는 안준호도 아니고, 한호열도 아니고 박범구도 아닌 조석봉 같은 사람이 바꾸게 한다. 한편으로 씁쓸하다. 황이병이 자살하자. 병영생활 행동강령이 생겼고 윤일병이 죽자 동기 생활관이 생겼다. 다음엔 누가 죽어야 무엇이 바뀔까",1492,4.5
watcha,D.P. 시즌 1,D.P. Season 1,2021,김유섭,후반부를 너무 극적으로 만들려고 한 것 같아 살짝 아쉬웠다. 탈영병 잡는 이야기가 과연 재밌을지 의문이 들었는데 6화까지 몰입해서 볼 수 있었다. 구교환 캐스팅은 정말 신의 한수다. 어떤 배우도 대체할 수 없을 듯.,120,3.5
