site,title,title_en,year,reviewer,review,review_length,rating
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,손형민,"나는 이 작품의 시도 만으로도 만점을 주고 싶다. 자폐를 가진 변호사 라니. 자폐를 가진 자의 마음은 그 누구도 들여다 볼 수 없다. 그러한 자들이 마음의 말들을 실천해 나가는 이야기라니. 보호 받아야 할 대상이라고 일컬어지는 자들이 법의 정의를 실천하며 손수 피고인을 변호하는 이야기라니. 이것 만으로 자폐를 가진 자들과 그 부모들에게는 큰 희망을 주는 이야기인 것이다. 드라마가 가질 수 있는 판타지란 이런 것 아니겠는가.  1화를 보니 그냥 설정만 가져다 놓고 감정에만 밀어붙이는 싸구려 드라마와는 거리가 멀다. 장르 드라마에 지극히 충실하며, 대사와 연출은 섬세하고, 와중에 코믹하기 까지 하다. 박은빈은 시청자로 하여금 캐릭터에 고스란히 빠져들어가게 하는데 또 다시 성공했다. — 박은빈 작품 보는 눈은 진짜다… 갓은빈 … 7화 중, “오롯이 좌절하고 싶습니다”…",432,5.0
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,김호진 펠릭스,나도 이제 자식이 생겨서 그런가 시작하자마자 눈물 날 거 같아서 못 보겠네 기러기 토마토 스위스 인도인 별똥별 우영우 우리 어머니 주영주씨가 좋아하겠구만,85,4.5
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,무비신,1화를 봤는데 법정 드라마답게 촘촘한 연출과 각본이 굉장히 마음에 든다. 박은빈 배우는 또 다시 인생작을 만들 준비를 하는 것 같다. 자폐 스펙트럼 장애를 가진 변호사라는 굉장히 고도의 연기를 너무나도 잘 몰입하였다. + 각본이 회차를 거듭할수록 아쉬웠지만 '우영우' 라는 독보적인 캐릭터로 이를 무마시키고 안정적으로 마무리하였다.,185,0.5
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,purplefrost,"전작 증인에서 펼치던 역겨운 흑백논리를 이번엔 장애를 모에화한 캐릭터를 앞세워 자신의 사상까지 더해 전파, 아니 계몽하려 들고 있다. 무슨 소수자를 다룬 시도만으로도 박수를 쳐줘야 되고 마음이 따뜻해지는 착한 드라마라는데 난 이게 뭔 소린지 모르겠다. 이 드라마는 섬뜩하다. 세상을 바라보는 시각은 무서울 정도다. (내가 본 것만 말하자면) 2화 호텔 웨딩 직원이 자신의 생계를 걸고 법정에서 낸 목소리는 동성애자의 커밍아웃과 구경꾼들의 감탄사에 묻혀지고 6화 벽돌과 빠따를 들고 남의 집에 쳐들어간 강도는 여성은 이렇게 심한 상처는 못 낸다는 둥 탈북자도 일종의 난민이니까 잘못해도 좀 봐주는 법규정은 없냐는 영문 모를 개소리와 감성팔이로 심지어 우영우의 입을 빌려 위대한 어머니라 포장하지만 계속되는 폭력에 목소리조차 못 내게 된 피해자는 죄도 뉘우치지 않는 이 범죄자에게 2차 가해까지 당해야만 한다. 그렇게 작가의 무의식인지 뭔지 모르겠는 소름 끼치는 저울질을 통해 나온 결론들은 실화라는 실제 사건과 판결을 우영우라는 자폐인을 이용해 마치 그것이 정당한 척 이 사회가 나아가야 할 방향인 척한다. 착한 사람 나쁜 사람 되기 참 쉬운 것 같다. 생각을 포기하고 그저 우영우를 바라보는 스스로에게 심취하면 되니까. 무슨무슨 혐오로 몰아가면 되니까. 아직 몇 달 남았지만 그래도 올해 가장 구역질 나는 콘텐츠는 단연 이 앵벌이 드라마가 아닐까 싶다.",701,4.0
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,냉장고고기,"""....역삼역?"" 에서 보기로 결정  우리영우 절대지켜!!!  ???: ""시켜줘, 변호사님포옹의자!!""  --  박은빈 배우가 대사 하나하나에 싣는 감정이 너무나 인상적이다. 이 작품으로 인해 장애에 대한 사회적 시선이 한결 개선되었으면 하는 바람이다.  --  ""내 이름은 꽃부리 영에 복 우. 꽃차럼 예쁜 복덩이란 뜻입니다. 하지만, 영리할 영에 어리석을 우가 더 어울리지 않았을까요. 태어나서 지금까지 본 책을 전부 기억하지만 회전문도 못 지나가는 우영우. 영리하고, 어리석은, 우영우.""  ""미안해요. '그냥 '보통 변호사'라는 말은 좀.. 실례인 것 같다."" ""아, 괜찮습니다. 저는 그냥 보통 변호사가 아니니까요.""  ""80년 전만 해도 자폐는 살 가치가 없는 병이었습니다. 80년 전만 해도 나와 김정훈 씨는 살 가치가 없는 사람들이었어요. 지금도 수백 명의 사람들이 '의대생이 죽고 자폐인이 살면 국가적 손실'이라는 글에 '좋아요'를 누릅니다. 그게, 우리가 짊어진 이 장애의 무게입니다.""  ---  하지만 조금 더 거리를 두고 보면 중반부터는 점점 고개가 갸우뚱해진다",552,4.0
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,Sunny,"아 너무 좋아 이런 이야기!! 이처럼 경쾌하게 소수자의 이야기를 다룬 작품이 있던가? 장애를 연민의 대상으로 보지 않았던 적이 있었나. 나도 모르게 마음 속에 세워 둔 유리 울타리를 하나씩 알아간다.  장애를 가진 + 천재 + 감정표현이 서툰 + 여성 + 대형로펌 + 변호사, 사려깊은 + 다정한 + 남성 + 사무보조원, 서울법대 + 미혼부 + 김밥집 사장님 + 아빠라니. 안 될 것 없는 이 조합이 왜 이제서야 나타났을까.  기러기토마토스위스-우영우의 인간적인 고민과 영우가 맡게되는 사건이 겹쳐지는 게 좋고, 사건이 흑백으로 나뉘어 주인공의 의뢰인만 불쌍하고 착한사람으로 선그어지지 않는 것도 너무 마음에 든다.  ***  ""변호사님이야말로 뒷장에 꽂혀 앞장은 읽어보지도 않은 거 아닙니까?""  ""괜찮습니다. 저는 보통 변호사가 아니니까요.""  ""제 이름은 영리할 영, 멍청할 우,가 아닐까요. 법전은 통째로 외우지만, 회전문 하나도 못 지나가는 바보.""  ""야 변호사는 그거만 잘하면 돼. 따라해봐. '이의 있습니다!'""  ""저는 자폐스펙트럼 장애가 있습니다. 그래서 여러분들이 보시기에 다소 어눌하고 어색해보일 수 있습니다. 그렇지만 법을 사랑하고 피고인을 존중하는 마음만은 여느 변호사와 다르지 않습니다. 변호인으로서 피고인을 도와 사건의 진실을 밝히기 위해 최선을 다하겠습니다."" (1회)  그렇지. 그냥 조금 다른 거지. 사실 결정적인 다름은 아니었던 거다. 자폐인이 무슨 변호사를 해, 라는 생각 잠깐이라도 했던 나의 편협함을 반성한다. 나보다 백 배 나은 우변.  ""만약에 사랑하는 사람이 생겨 결혼식을 한다면, 동시입장을 하겠습니다. 아버지가 배우자에게 저를 넘겨 주는 게 아니라 제가 어른으로서 결혼하는 거니까요. 대신 아버지에게는 부케를 드리겠습니다. 아버지는 미혼부라 결혼해본 적이 없으니까요. 제가 결혼한 뒤 혼자 사시기 보다는 결혼을 하시는게 좋겠습니다."" (2회)  ""80년 전만 해도 자폐는 살 가치가 없는 병이었습니다. 80년 전만 해도 나와 김정훈 씨는 살 가치가 없는 사람들이었어요. 지금도 수백 명의 사람들이 의대생이 죽고 자폐인이 살면 국가적 손실이란 글에 좋아요를 누릅니다. 그게 우리가 짊어진 장애의 무게입니다.""  ""제가 이준호 씨와 함께 걸으면 사람들은 이준호 씨가 사람들을 위해 봉사를 하고 있다고 생각합니다. 택시 기사가 피고인을 붙잡았을 때 저한테도 돈은 있었지만 기사는 제가 상황을 해결할 수 있는 사람이라 보지 않습니다. 저의 자폐와 피고인의 자폐가 무엇이 같고 무엇이 다른지 저한테는 보이지만 검사는 보지 못합니다. 그렇다면 판사들도 마찬가지일 겁니다. 저는 피고인에게 도움이 되는 변호사가 아닙니다."" (3회)  영우가 짊어져야만 하는 장애의 무게. 영우는 그 무게를 어떻게 감당해낼까? 포기하지마, 영우야.  ""너는...봄날의 햇살 같아. 너는 나한테 강의실의 위치와 휴강정보와 바뀐 시험범위를 알려주고, 동기들이 날 놀리거나 속이거나 따돌리지 못하게 하려고 노력해. 지금도 너는 내 물병을 열어주고, 다음에 구내식당에 또 김밥이 나오면 나에게 알려주겠다고 해. 너는 밝고 따뜻하고 착하고 다정한 사람이야. 봄날의 햇살, 최수연이야."" (5회)  영우도 알고 있었던 거다. 영우를 지나치지 못했던 수연의 예쁜 마음을.  ""그깟 공익사건, 그깟 탈북자 하나라고 생각하지 맙시다. 수십 억짜리 사건처럼은 아니더라도, 열심히 하자고요."" (6회)  ""좌절해야 한다면 저 혼자서 오롯이 좌절하고 싶습니다. 아버지가 매번 이렇게 제 삶에 끼어들어서 좌절까지 대신 막아주는 건 싫습니다."" (7회)  ""서울대 로스쿨에서 성적 좋은 애들은 다 대형 로펌으로 인턴나가서 졸업 전에 입사 확정 받아. 근데 너만, 정작 학교에서 맨날 1등하는 너만 아무데도 못 갔어. 그게 불공평하다는 거 다들 알았지만 그냥 자기 일 아니니까 모르는 척 가만히 있었을 뿐이야. 나도 그랬고. - 아무래도 나한텐 자폐가 있으니까.. 야! 장애인 차별은 법으로 금지돼있어! 네 성적으로 아무데도 못가는 게 차별이고 부정이고 비리야. 무슨 수로 왔든 늦게라도 입사를 한 게 당연한거라고!"" (8회)  ""학원 가는 대신 놀고, 놀고, 또 놀고, 어린이 해방을 이루려는 우리들의 뜻을 엄마가 이해하겠니? 그러니까 어린이 해방군은 선언한다. 하나, 어린이는 지금 당장 놀아야 한다. 둘, 어린이는 지금 당장 건강해야 한다. 셋, 어린이는 지금 당장 행복해야 한다. 어린이를 위한다는 학교와 학원, 부모의 간교한 주문을 물리치고 어린이 해방군 총사령관은 지금 당장 어린이를 위해 노래한다. 얘들아, 놀자!!!""  ""어린이는 웃고, 어른은 화내는 이름에 걸맞게 사는 것. 그게 제가 하려는 혁명입니다.""  “어린이는 지금 당장 놀아야 합니다. 나중엔 늦습니다. 불안이 가득한 삶 속에서 행복으로 가는 유일한 길을 찾기에는 너무 늦습니다."" (9회)  ""변호사는 사람이잖아요. 판사랑 검사하고는 달라요. 같은 사자 돌림이라도 판사랑 검사는 일 사, 자를 쓰지만 변호사는 선비 사, 자를 쓰지요. 변호사는 달라요. 우리는 선비로서, 그러니까 한 인간으로서 의뢰인 옆에 앉아 있는 거에요. 당신 틀리지 않았다, 나는 당신 지지한다, 그렇게 말해주고 손 꽉 잡아주는 것도 우리가 해야하는 일인 거죠. 자기 자신한테 거짓말할 수는 없잖아요.""  ""류재숙 변호사는 양쯔강 돌고래 같아. 멸종되지는 않았으면 좋겠어.""  ""이런 응원을 받는 기분은 어떨까? 심지어 재판에 졌는데도."" (12회)  아 왜 이런 대사를 들어버려가지고ㅠㅠㅠㅠ 울림이 남는다. 비록 사건에서는 졌지만, 이긴 것 같은 기분.  ""변호사님을 좋아하니까, 돌고래 해방시위도 하고, 한강에서 쓰레기도 줍고, 김밥 맛집 투어도 한 거에요."" (12회)  준호씨ㅜㅜㅠㅠㅠ  ""우영우 변호사는 정명석 변호사와는 다르잖아요. 나랑은 완전히 다른 사람인데 내가 무슨 조언을 하겠어요. 난 그저 우영우 변호사의 결정이 궁금할 뿐이에요.""  ""뿌듯함. 오늘 아침 제가 느낀 감정의 이름은 뿌듯함입니다."" (16회)",2950,1.0
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,이아민,"우리나라도 아닌 다른 나라의 단 하나의 실화를 옮기기엔, 이해나 예의 모두 부족하다. 매번 트리트먼트 받고 꾸안꾸 화장 다 받고 나오시는 박은빈 배우에게 '안나'의 수지 배우의 비약을 관찰하시길 소망한다. 자폐증은 .. 말 그대로 세상을 스스로 닫는 장애다. 자폐 의사를 다룬 굿닥터도 설득력은 있었다. 본인만의 세계에서 일반인들보다 뛰어난 의학적 지식으로 환자를 고치곤 정작 환자 보호자들과의 소통에서 애먹는.그게 자폐증이다. 이 드라마.. 박은빈 배우가 연기하는게 정말 자폐증 환자가 맞는가? 말투에서도 악센트만 빼면 일반인보다 논리 정연하고 재판 변호씬에서도 눈치껏 대중들의 마음을 읽고, 눈치 빠르게 군중심리를 읽고 사과로 시작하는 변론까지..우리나라 수만명의 자폐증 부모들에게 당당할 자신, 정말 있는가.",399,3.5
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,플루,"+ 6화까지는 별점 5점, 이후 하향  3화에서 이미 이 드라마는 할 이야기를 다 풀었다고 생각한다. 대한민국에서 자폐에 대한 인식을 적나라하게 보여주는데, 이는 우영우가 끝까지 재판에 참여하지 못한 내용과도 상통한다. 그럼에도 그들이 할 수 있는 이야기가 있다. 단지 일반 사람들의 방식과는 다르게 해야 한다는 점이 있을 뿐. 그걸 우영우는 끝까지 말하고자 했다.  물론 이 드라마는 너무 판타지적인 면이 있는 건 사실이다. 하지만 어떤 드라마는 굳이 극사실적으로 묘사될 필요는 없다. 어쩌면 <이상한 변호사 우영우>는 그런 드라마일 지도 모른다. 자폐에 대한 일반적인 인식을 가진 사람들에게, 자폐 스펙트럼 장애를 가진 우영우는 누구도 생각 못한 해결책을 내민다.  우영우의 이상함은 자폐에서 오는 게 아니라, 어쩌면 이 낯선 세상에서 자신만의 신념과 뚝심이 완벽하게 정립되어 있는 것에서 오는 게 아닐까.  <증인>을 집필한 문지원 작가가 정말 많은 연구를 한 게 눈에 띈다. 또 이런 어려운 역할을 1년 만에 맡아준 박은빈에게도 헌사를 보낸다.  - 10화 보고 별점 하향  물론 이 에피도 심오한 주제를 나름 잘 표현하는 데에 성공했다. 그러나 그동안 숨겨뒀던 디테일을 기가 막히게 써먹은 문지원 작가가 위 에피들에서는 너무 뒤쳐진 느낌. 특히 사랑할 수 있는 권리에 대해서 우영우가 표현하는 장면에서 '나쁜 남자를 사랑할 수 있는 권리'는 분명 엄청난 불호 세례가 나올 가능성이 높음. 왜냐하면 사랑에는 책임감이 뒤따르고, 그 책임감은 오로지 본인이 쥐고 지켜야 하기 때문이다. 단순히 애정이라는 1차원적 소재로 엮어서 정의내릴 수 없는 큰 문제인 것이다.  어차피 이런 민감한 주제를 다루는 데에 있어서 당연히 모두를 만족시키는 건 불가능하다. 그럼에도 이번 에피소드가 다소 불호 의견이 많은 이유는 그동안 많은 사회적 약자에 대해 다루면서도 작가가 생각하고 드러내고자 했던 게 명확했지만, 이번에는 그러지 않았기 때문이다. 문지원 작가가 여러 가지 의견을 모두 한 에피소드에 담으려다 소쿠리를 바닥에 떨어뜨려 그나마 먹을 만한 것도 뱉어내게 만들었다는 점, 매우 아쉬웠다.  또 문제는 뜬금없는 주변 캐릭터의 변덕. 특히 8회 마지막 명장면을 만들어낸 태수미가 갑작스럽게 우광호 앞에서는 마치 우영우를 걸림돌이라고 믿게끔 말하는 장면이 매우 충격적이었다. 물론 캐릭터에 대해서 모호하게 묘사를 하는 것은 좋은 일일 수 있다. 그만큼 시청자들로 하여금 궁금하게 만들 수 있으니까. 다만 모호하다고 해서 이리 붙었다, 저리 붙었다 하는 묘사는 굉장히 불친절하다. 이렇게 되면 마치 저 캐릭터는 정신병자가 아닌가 라고 의심이 들 수밖에 없기 때문이다. 캐릭터 구축이 과연 어떻게 되느냐에 따라 최후반부의 흥행이 결정될 듯 싶다.  - 14화 보고 별점 하향  이제는 박은빈 연기 말고 볼 게 점점 사라지는 느낌. 그리고 왜 갑자기 안 그러던 한드의 클리셰가 점차 떡칠되어가는 건가? 초반까지는 좋다가 어째서 갑자기 이런 식의 용두사미가 이뤄지는지. 문지원 작가가 공부를 많이 했다는 말은 취소해야 할 지도.  - 16화 보고 별점 하향, 최종 별점 3.5  사실 평가를 할 때 '이 정도'라는 조건은 굉장히 위험하다. 너무 기준을 낮게 잡는 것처럼 보이기 때문이다. 그래도 이 정도면 그나마 담담한 엔딩이 아닐까 생각한다. 많은 떡밥을 분명 한 편에서 전부 정리한 건 큰 실책이고, 권민우가 우영우에게 그냥 사과를 하는 장면이라도 나왔어야 하지만 전혀 나오지 않은 건 더 큰 실책이기는 하다. 그래도 이 정도면, 이만큼만 했으면 나은 게 아닐까.  시즌2의 제작이 솔직히 불안하다. 이미 출생의 비밀과 사랑의 제약 등 많은 요소는 다 풀었는데, 그러면 어떤 방향성으로 잡고자 하는 것일까. 만약 정말 법정 드라마를 만들고자 한다면 개인적으로는 시즌2가 나오지 않았으면 좋겠다. 그냥 이대로, 단일한 드라마로 남아주기를 바란다. 그게 바로 내가 기억할 수 있는 '이상한 변호사 우영우'의 본질이 아닐까 싶으니까.  박은빈 배우에게 많은 헌사를 보낸다. 당신이 아니었다면 이 드라마는 여기까지 못 왔으니까.",2022,3.0
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,모긴,"10화는 방영되지 말았어야 했다. 장애 당사자 캐릭터에게 ""장애인도 나쁜 남자를 사랑할 자유가 있다""는 대사를 부여하고, 장애인 성폭행이라는 문제를 장애여성-비장애남성 커플 서사 변호와 진전을 위해 이용하다니 정말 최악이다.",125,0.5
watcha,이상한 변호사 우영우,Extraordinary Attorney Woo,2022,Jin121,4화까진 5점이었다가 5화부터 점점 읭? 해지더니 10화보고 할 말을 잃었다. 박은빈 배우가 아깝다. 작가는 공부를 제대로 한게 맞는지. 자신의 이상 속에서 글을 쓴 것 같다. 비장애인 주제에 감히 장애를 논하려면 공부를 꼼꼼히 하고 현실적인 시각으로 그들의 입장을 헤아리려 노력해야했을 것이다. 용두사미도 이런 용두사미가 없다.,184,4.5
