site,title,title_en,year,reviewer,review,review_length,rating
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,미디어채무자,나만 재밌게 본건가 .. ㅜㅋㅋㅋ 중간중간 k드라마 요소들이 약간 킹받고 흐름을 깨긴 하지만 나름의 맛(?)이 있고 특히나 흔해 빠진 괴물 나오는 디스토피아물이 아니라 좋았다. 우리나라의 아픈 역사 중 하나를 제대로 다루고자 하는 강력한 의지 하나만큼은 엿볼 수 있었다.,151,4.0
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,Random cul,시즌1은 일본의 만행을 다뤘다는 생각에 말도 안되는 괴물들에도 몰입이라도 노력했는데... 갑자기 돌아와서는 이게 로맨스물인가? 부상당한 한소희님은 배고프던데...  박서준님 앞에서는 물도 안마시네? 얼굴이 재생된 수현님은 손은 재생이 아직이네? 엔딩에서 박서준님 만난 괴물은 세마리에서 한마리만 싸우네?? 나진은 눈은 재생이 안되는구나? 그리고 어린아이는 자라고 성인은 그대로구나? 그리고 나진부대도 아니고 풀벌레소리 부대는 뭐지...? 쿠키는 정말... 시즌3은 경성크리처와는 관련 1도 없는 좀비물에 스위트홈에 기생수까지 정말 맛없는 짬뽕이겠구나.,308,1.0
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,강계민,"도대체 무슨 낯짝으로 온갖 떡밥을 흘리고 끝내는 것인가. _시즌1 파트2까지 보고와서. _시즌2까지 관통하는 관람평이었을줄이야  덧붙여서, 도대체 무슨 생각으로 경성에서 서울까지 이 이야기를 끌고 온 것인가. _시즌2까지 보고와서.",129,1.0
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,Dh,"아주 몹쓸 시리즈를 보았소. 그나저나 거 언제까지 계속 꿈틀대는 거요? #지금 만지러 갑네다. #짜친다 . . . -이전 코멘트 아아니 태상 양반, 날도 찬데 거 시즌2도 나오는 거였소.. 그런거였소... #꿈틀꿈틀",120,1.5
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,이공사육,시즌1과 동일한 문제점들이 2에서도 그대로 이어집니다 3까지 나올 일은 아니라고 봅니다,48,1.5
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,벵말리아,떡밥은 이해합니다만… 다음 시즌을 보고 싶은지 아직 잘 모르겠습니다만.. 이번 시즌은 끝까지 봤습니다.,57,2.5
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,WIKIKILL,전작과의 차이가 거의 없다시피 흘러간다.,22,2.5
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,다솜땅,"이어지는 저주같은 삶 누군가는 끊어야 했고, 그걸 회피하지 않은 그 남자. 시간이 평범했으면 겪지 않았을 일들.. 그들의 시간은, 우리와.. 다르다.. #25.1.10 (20)",98,4.0
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,이윤석,경성크리쳐인데 크리쳐가 안나올때가 더 재밌는 건 안 비밀 ㅋ 시즌1보다 더 재밌구만 3편인데 상당히 밀도있게 잘 찍었네 다음 시즌도 나올 예정인 거 같은데 떡밥투척이 수준급이야 ㅋㅋ 기대를 안할 수가,111,3.5
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,Steve,박훈정감독의 '마녀' 세계관 접목은 무리 배후 조합이 아깝다,33,2.0
watcha,경성크리처 시즌 2,Gyeongseong Creature Season 2,2024,왕밤빵,700억으로 무얼 한걸까?,14,1.5
