site,title,title_en,year,reviewer,review,review_length,rating
watcha,킹더랜드,King The Land,2023,방구석로맨스전문가,"킹더랜드에 화풀이하는 것 같아 미안하지만... (뭔 이름도 킹더랜드.. 재벌 = 왕? 진짜 개킹받는다.) 요즘 로맨스 드라마들 보면 진짜 개열받아서 절절한 호소문 써봤다. 분명히 점점 발전하던 한국 로맨스 드라마가 어쩌다가 이 지경이 됐는가. 이 드라마만 문제가 아니다. 요즘 몇 년 동안 아무 고민도 생각도 없이. 그러니깐 이전의 드라마들과의 차별성에 대한 고민, 더 나은 로맨스 드라마를 만들려는 노력도 없이 나오는 로맨스 드라마들 몇 십개에 실망만 쌓이니 이 드라마가 요즘 로맨스 한드계의 기대작 퀄리티라는 게 분통이 터질 뿐이다. 2017년까지 상승하던 한드 퀄리티는 공중파, 케이블 할 거 없이 그 이후로 곤두박질치고 있다. 보기 전부터 인물 소개만 봐도 ’구원‘ ‘천사랑’… 노골적이고 유치한 작명센스와 시놉시스만 봐도 허접할 거 뻔히 알면서도 옷소매 준호니까, 로맨스니까 닉값하느라 일단 봤지만 이 드라마의 1화를 보니 드라마 작가들 줄빠따를 맞던지 단체로 냉수 폭포 좀 맞던지 해서 정신 좀 차렸으면 좋겠다. 연출은 같이 가서 폭포 맞고 백숙 먹고 푹 쉬어라. 돌아오지 말고. 여기 나오는 배우들 다 나쁘지 않은 연기력이었던 것 같은데 이 드라마에서의 연기는 몰입을 방해할 정도였다.  요즘 점점 한드가 망조가 들고 있다는 게 느껴져 드덕으로써 마음이 아프다. 언제부터 왜 이렇게 된 걸까? 뻔해도 유치해도 재미는 있을 수 있다. 웃지 못하는 영앤핸섬리치앤톨 남자가 밝은 캔디형 여자를 만나 웃게 되는 것?제인 오스틴이 만든 뼈대부터 김은숙의 화려한 변주까지 사실 거의 모든 로맨스가 따져보면 거의 다 그 내용이다. 다만 그것을 어떻게 설득력 있고 재미있고 뻔하지 않게 푸느냐가 바로 요점이다. 근데 요즘 나오는 로맨스물들은… 난 이 뻔하지만 재밌을 수 있는 선이 딱 ’김비서가 왜 그럴까‘ 까지가 마지노선이었다고 본다. 근데 문제는 이 이후로 재벌 역 남주 배우들이 다 박서준병에 걸렸는지 캐릭터를 이상하게 잡기 시작했고 사내 맞선의 성공으로 몇 년전만 해도 통과도 못 했을 올드한 삼류 클리셰 범벅 웹소설 같은 퀄리티의 (요즘 로설들 고퀄 많은데도 불구하고. 리디북스 베스트 셀러에서 아무 거나 골라도 요즘 드라마 대본들 퀄보단 낫다. 차라리 그것들을 드라마화해달라) 대본이 통과가 되고, 투자가 되고, 제작이 되고, 옷소매 효과로 리모컨 파워가 있는 중장년층 여성들을 사로잡은 준호가 캐스팅되어 그의 팬들은 편하게 보는 로코는 원래 이렇다며 찬양 일색이다. 아마 그들이 준호를 위해 팔도비빔면 꼬박꼬박 사듯이 (난 준호팬 아니지만 팔도비빔면은 생필품이긴 함) 이 드라마도 열심히 봐서 시청률 10은 넘겨 성공했다고 얼렁뚱땅 넘어가고 포상휴가 가고 드라마 퀄리티는 계속 이 모양이겠지… (옷소매 이후 준호가 대본을 100개 넘게 받았다고 했는데 그 중에서 고른 게 이거라니.. 근데 더 무서운 건 그럼 그 100개의 대본 중에 이게 제일 나은 대본..? 그냥 준호가 코카콜라로 골랐거나 2pm시절부터 옥택연의 등 뒤에서 윤아를 짝사랑했다고 믿고 싶다.) 하지만 이 드라마에서의 준호는 놀라울 정도로 매력이 없다. K2 때부터 무매력 여주캐만 고르는 윤아는 말할 것도 없고.. 대본은 진짜 구리다 못해 쉰내가 나는 오글거리고 올드함 범벅이다. 대체 언제까지 서민 문화 몰라 라면 맛 모르는 재벌 남주캐로 웃기지도 않은 개그요소를 넣을 것이며 (이럴 거면 걍 구준표 다시 보면 됨) 언제까지 그런 남주가 여주 시골본가에 가서 몸빼바지 입고 밥상에서 걔쟥의 때떗햄~을 느끼면서 여주에게 빠질 것인가? 언제까지 외국어 능력같은 유치함으로 어설픈 괴롭힘과 갑질을 어설프게 참교육하는 걸로 눈이 높아진 시청자가 사이다 대리만족을 할 거란 안일하고 수준 낮은 생각을 할 것이며, 예쁘고 착해서 다들 날 괴롭혀 힝 ㅠ 그치만 난 나만의 능력이 있으니깐 아자아자 호텔리어 홧팅! 을 주장하지만 손님 방에서 똥싸고 리모컨 만지작거리는.. 결국 아무 것도 할 줄 모르고 눈치도 없고 민폐만 끼치지만 밝고 긍정적인 웃음으로 무마시키려는 여주캐를 반복할 것인가? 걸크러쉬 차갑고 냉정한 여주를 원하는 것이 아니다. 제발 평면적인 캐릭터 좀 그만 쓰라는 얘기다. 제발 고민 좀 하고 만들라는 얘기다. 그저 남루한 대본의 분량 채우기 용으로 주인공들 리액션 받이일 뿐인 조연들도 쓰잘데기 없이 많이 넣지 말란 얘기다. 편하게 보는 드라마라고 니들도 편하게 만들면 안 된단 말이다.",2167,0.5
watcha,킹더랜드,King The Land,2023,르네상스형뮤지션,또 재벌2세남과 ‘당찬’ 가난녀의 로코군요…네네. 아무렴요. 상상력 빈약한 이 차별 구도는 끝도 없이 반복 변주됩니다.,66,2.0
watcha,킹더랜드,King The Land,2023,윤제아빠,창의력이 바닥이니 할 수 있는게 없다. . . #지상파들은정신좀차려야지 #이대로면모두문닫는게낫다 #이드라마는차마볼수가없다,67,0.5
watcha,킹더랜드,King The Land,2023,Lucy,"너무 올드하고,….극중 재벌이 민망할정도로 멋있는척을 너무한다..  뻔하고 올드해도 재미있을 수 있다고 생각한다. 근데 이 작품은 해당안됨  + 볼수록 옛날 사람도 아닌 90년생 배우 둘이 이작품을 선택한 이유가 궁금하다..차라리 어려서 잘 모르는 배우들이 선택했다면 이해가 갈듯하다.",159,1.0
watcha,킹더랜드,King The Land,2023,조 마치,"근래 본 작품 중 가장 게으른 작품. 캐스팅에만 기대서 아무것도 하지 않았다. 정말 아무것도.  + 가장 경악한 대사 ‘나 따라오면 바로 정규직이야’ 어떻게 이런 대사가 2023년에 가능한가요? 그것도 남자주인공 입에서..? 까칠한 도련님으로 시작한다는 설정임을 감안해도 진짜 말도 안되는 대사.. 더군다나 이 말을 들은, ‘인턴만 5번한 취업이 간절한 20대 청년’은 행복한 표정으로 쫄래쫄래.. 1화 보다가 경악한 부분이 한두군데가 아니네요.",249,0.5
watcha,킹더랜드,King The Land,2023,뽀뽀해요,나 이거 나만 이렇게 열받나 하고 왔더니 다들 한마음 한뜻으로 욕하는중ㅋㅋㅋ 저도 제 눈을 의심했습니다. 23년도에 재벌남 가난여 소재가 아직도? 심지어 90년대 인소마냥 서로 오해하고 제대로 대화없이 그걸로 얽히는 내용이 존재?? ㅋㅋㅋ 기가차서 웃음이 나옴ㅋㅋ 난 심지어 설마 이게 다겠어? 하는 맘으로 2화까지 다봄 ㅋ ㅋ 진짜로 이게 다임 ㅋㅋ 황당하다ㅋㅋ,203,1.0
watcha,킹더랜드,King The Land,2023,THE PA,캐스팅 능력이 대단하니까 일단 별한개부터 시작이다. 배우들 예쁜거 말곤 장점이 1도 없다.,50,0.5
watcha,킹더랜드,King The Land,2023,이야기꾼 지망생,등장하는 모든 인물이 편견과 갑질덩어리다. 작가의 세계관이 의심스러울 지경... 스트레스받아서 보기가 힘들다.,61,0.5
watcha,킹더랜드,King The Land,2023,johnpaulmacqueen,판춘문예 에피소드 모두 모두 모아서 한번 엿먹어봐라 하고 쓴 대본인것 같은데 진짜 킹받네…로코를 쓰라니까 싸이코패스물을 만들었네,71,0.5
watcha,킹더랜드,King The Land,2023,김영택,드라마 작가들이 현실을 모르다못해 무능하기까지 하다. 생활 속 디테일을 모르는 작가에겐 대사 한줄도 아쉽다.,60,1.0
