site,title,title_en,year,reviewer,review,review_length,rating
watcha,설국열차,Snowpiercer,2013,Blue,열차 바깥보다 차가운 건 안쪽이었다.,20,5.0
watcha,설국열차,Snowpiercer,2013,이동진 평론가,뜨거운 계급투쟁처럼 보였던 차가운 사회생물학. 봉준호의 암연(暗淵).,38,3.5
watcha,설국열차,Snowpiercer,2013,재원,"사회를 모티브로 관객을 승객 삼아, 호쾌하게 내달리다, 처연하게 돌아보는 봉준호의 인류 열차. ps. 패기 넘치는 시작에 비해 허탈한 마무리가 다소 아쉬우면서도, 한편으론 이런 허탈한 마무리가 왠지 더 현실적으로 느껴지기도 한다. 만약 혁명을 깔끔히 완수하고 통쾌하게 끝맺었다면, 그 짧은 카타르시스로 현실에서 느낀 숱한 갈증을 단숨에 해소시킬 수 있었을까. 끊임없이 생각하게 되며 곱씹을수록 의미심장하게 느껴지는, 지극히 봉준호스러운 결말이라 생각된다.",254,4.0
watcha,설국열차,Snowpiercer,2013,송용주,"식상했다. 난잡했다. 뻔한 자극의 연속이었다. 설정 상의 누락인지, 오류인지 몰입이 깨지는 씬이 많았다. 가장 인상적인 것은 틸다 스윈튼의 연기.",81,2.0
watcha,설국열차,Snowpiercer,2013,서재완,봉준호 작품중 유일하게 투박한 영화..권력층을 향해 썩소를 날리던 예전과 다른 메세지와 통찰에 별5개넣는다 나머진 기대만큼은 아니네,73,3.0
watcha,설국열차,Snowpiercer,2013,핏불,상징도 정도껏. 상징을 넣는건 쉽다. 그걸 재밌게 풀어가는게 어려운것,38,2.0
watcha,설국열차,Snowpiercer,2013,신상훈남,"영화가 잔인하다. 꼭 피가 튀기고 몸이 잘려야 잔인한 것은 아니다. 물론 그런 장면들이 아예 안 나오는 건 아니지만, 이 영화를 보고 나면 입 안 가득 핏물을 머금고 있는 듯한 느낌이 든다. 그래서인지 비린내도 약간 나는 듯 하다. 왜 이렇게 잔인하게 느껴지는지 곰곰이 생각해보니까, 열차 밖에선 살 수 없는 환경 속에서 인간의 어리석음이 두드러지기 때문에 이토록 잔인한 것 같다. 같은 열차를 탔는데도 이 와중에 칸을 나눠 서로를 적대시 여기고, 꼬리칸에 있는 사람들에겐 최악의 절망을 선사한다. 그 과정에서 잔인한 건 영화의 '장면'이 아닌 인간의 본성이라는 생각이 들었다.                                                                                 봉준호 감독은 전작들과는 달리 메타포를 최대한 덜 줄여서 썼다. 오히려 매우 직설적인 연출이 많았다. 이는 더욱 거세게 자본주의를 비판하려는 의도 같기도 하고, 꼬리칸부터 열차의 핵심인 엔진이 있는 칸까지 도달하는 직선의 거리를 강조하기 위함도 분명 있을 것이다. 꼬리칸에서 바퀴벌레로 만든 쓰레기 양갱을 먹고 있을 때, 앞 칸에서는 단지 자본이 풍부하다는 이유 하나만으로 호화로운 삶을 누리고 있었다. 눈보라가 몰아치는 바깥보다 더 가슴 시리고 추운 건 멈추지 않고 달리고 있는 기차 안이라는 게 참 아이러니했다.                                                               열차가 달리는 동안 사람들은 이 열차가 곧 진리이며 살아남을 수 있는 유일한 길이라고 여긴다. 영화를 보고 있는 우리 또한 마찬가지다. 꼬리칸을 벗어나려고 하지 기차 안으로부터 탈출할 생각은 전혀 하지 않았기에 바깥을 향한 희망은 전혀 보이지 않았다. 바깥에 있는 눈밭 풍경을 살짝씩 비춰줌으로써 신비로운 분위기도 풍긴다. 남궁민수(송강호)가 커티스(크리스 에반스)에게 눈에 파묻혀있던 비행기의 형태가 조금씩 보이기 시작했다고 말하고, 식물원에서 뭔가를 본 듯, 자세한 정답을 알려주진 않지만 감칠맛 나게 하는 연출들도 몹시 신비로웠다.                                  [이 영화의 명장면 ]                                                                 1. 쓸모없는 총                                                                          꼬리칸의 반란이 시작됐다. 커티스가 계획을 실행에 옮기기 전, 문이 하나씩 열리길 기다릴 때 눈을 잠시 감는다. 나는 처음엔 리더랍시고 무턱대고 세웠던 야심찬 계획을 막상 실행하려니 두려움이 몰려오는 건 아닌지 걱정했다. 그러나 내가 너무 커티스를 만만히 봤었다. 단지 침착함을 잃지 않기 위한 숨 고르기일 뿐이었다. 문이 닫히기 전 미리 준비했던 이어진 통들 위에 올라타, 본격적으로 적들을 소탕할 때의 긴장감과 통쾌함이 일품이었다. 또, 길리엄을 섬겼던 그레이의 화려한 액션도 멋졌다.            2. 새해 맞이 계란                                                                        사실 몰입이 조금 힘들었다. 여지껏 도끼질로 피만 튀기다 왔는데 아이들의 순진무구한 모습을 보고 있자니 어딘가 불편했다. 아이들은 죄가 없다. 그들의 입에선 조금 거친 말이 나오지만 이 기차에서 태어난 그들은 이 악적인 기차의 총책임자 '윌포드'를 동경하는 사람들로부터 교육을 받아왔고, 무엇이 옳은지 판단할 수 있는 환경이 되지 않는다. 방심도 잠시, 해피 뉴 이어 ! 행복한 축하 뒤로 커티스가 집은 계란 껍질을 까보니 'blood'란 편지글이 나온다. 이 땐 너무 소름돋았다. 잠시나마 편안했던 분위기가 순식간에 아수라장이 되고, 계란을 배달하던 대머리는 총을 들고 꼬리칸으로 향한다.                                                                                    3. 찜질방                                                                              악당이 독을 품고 있는 이유가 장황한 설명 없이도 바로 설득되었다. 쇼트 하나 하나가 인상적이다. 악당이 아무렇지 않게 기차 안에 탑승하고 있던 승객을 쏴죽인다. 이 때 분명하지 않던 그의 캐릭터가 점차 무자비한 컨셉으로 잡히기 시작했다. 또 커티스와 그레이가 힘을 합쳐 덤볐는데도 쉽게 이기지 못한 강적인지라 새로운 긴장감 또한 형성됐다. 은근 되게 강력한 남궁민수에게 제압당하긴 했지만 그의 목숨은 정말 질겼다. 어딘가 앤드류 가필드를 닮은 그레이는 커티스를 살리고, 슬픈 눈빛을 띠며 천천히 쓰러진다. 나는 그가 정말 좋았다.                                        어느 환경에 처해도 우리는 인간의 본성을 마주한다. 선하든 악하든, 절대 그것으로부터 도망쳐선 안 된다. 선이 악을 삼킬 수 있게 모든 걸 다 바쳐서라도 이끌어내야 한다.",2547,4.5
watcha,설국열차,Snowpiercer,2013,김지영,꼬리칸에서 부터의 혁명. 기계속 열차를 운전하는 어린 꼬마. 그리고 마지막 북극곰이 생각난다. 두려움을 버리고 밖으로 나가자.,70,5.0
watcha,설국열차,Snowpiercer,2013,filmaholic9,"결국 가장 마지막에 살아남은 건 가장 약자로 여겨지는 동양인, 여성, 흑인, 어린아이. 이건 일종의 경고 또는 자조일지도 모른다.",72,5.0
watcha,설국열차,Snowpiercer,2013,JJ,"언제 어디서나 변함없이 잔혹한 인간 생태계가 열차 밖이라고 달리 세워질 것 같진 않다만, 그래도 기왕이면 넓은 곳이 낫겠지. 눈밭 위 아담과 하와가 부디 곰에 지지 않기를.",96,4.0
watcha,설국열차,Snowpiercer,2013,HGW XX/7,기대감에 비해 투박했던 플롯. 그러나 전달받은 화두는 결코 적지 않았다.,40,4.5
watcha,설국열차,Snowpiercer,2013,황재윤,인류를 여러 시선에서 바라보게 되는 흥미롭고도 차가운 이야기.,34,3.5
watcha,설국열차,Snowpiercer,2013,OSM,- 소재가 정말 독특하다.. 소재 자체는 잘 살렸기 때문에 충분히 볼만한 영화인듯 - 캡틴 아메리카랑 너무 다름ㅋㅋ 변하느라 고생 좀 했을 듯.. (그 푸르고 초록색 눈은 변함이 없지만) - 솔직히 SF같지가 않아..ㅋㅋ 액션 같아.. SF라고?? - 외한국영화 라고 해야하나ㅋㅋ 처음 보는 형식이라 아주 재밌게 봤다. 수많은 영어들 속 송강호의 존재감이란 - 막판에 주제 몰아주기 하는데 초중반도 나름 흥미로운 주제긴 하다. 뭔가 모든게 색다른 영화다ㅋㅋ,255,3.5
