site,title,title_en,year,reviewer,review,review_length,rating
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,노아,나만 엄청 재밌게 본 건가..?  예상치 못한 평이 쏟아지네..  한국에서 이런 분위기의 작품은 거의 없다시피해서 시도 자체가 되게 신선하고 좋았는데  깊은 생각 없이 보면 시간 가는 줄 모르는 작품,111,4.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,NANA,스포일러가 있어요!!보기,13,0.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,영화보고 밥먹고 커피마시고 산책해요,"현대 사회의 무한 경쟁과 불평등, 그리고 돈의 논리가 생명보다 우선시되는 탐욕을 비판하려 했던 걸까, 아니면 단순히 폭력적인 오락 영화를 만들고 싶었던 걸까?  무의미한 살육 장면들은 불편함을 넘어 피로감을 느끼게 한다. 마치 충격적인 연출만을 위해 제작된 드라마처럼 보인다.  이미 일본에서 묻지마 살육 게임이라는 소재가 과소비된 상황에서, 보다 새롭고 강력한 강점을 제시했어야 한다고 생각한다. 현재 K-컬처가 글로벌 대중문화의 중심에 서 있는 만큼, 이제는 ""한국치고는 시도가 좋았다""는 식의 헐렁한 잣대는 통하지 않는다 생각한다.  개연성 없는 모순적 설정들, 치밀하게 짜인 이야기보다는 자극적인 극단 상황에 의존하다보니 장르 특유의 서스펜스가 약하다. 또한, 과장된 연기와 일관성 없이 변화하는 캐릭터성, 현실감 떨어지는 문어체 대사는 배우들의 역량을 온전히 살리지 못한다. 특히 관객이 감정이입할 수 있는 매력적이고 설득력 있는 인물이 부재하다는 점은 극의 몰입도를 떨어뜨리는 요소로 작용한다.  개인적으로 유년 시절의 순수한 놀이를 잔혹한 생존 살육 게임으로 변형시킨 설정은 적지않은 충격과 함께 복합적인 씁쓸함을 안겼다.",579,2.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,다이,오징어짬뽕,5,0.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,파반느,"시간가는 줄 모르고 너무 재미있게 봤는데 왓챠에는 뭐가 이리 불편들한 방구석 영화감독들이 많나 싶다.  몇년간 왓챠 별점을 매겨온 내가 관찰한 방구석 무비메이커들의 특징은 아래와 같다. 근 2년동안 꼴보기 싫은 댓글들이 기하급수적으로 늘어나는 것 같아 몇 글자 적어본다.  1. 개연성을 최우선 가치에 둠 - 사실 개연성이 그 영화의 완성도를 결정짓는 척도는 아님에도 뻑하면 개연성이 없다느니 부르짖고 별점 2점 이하로 줌 - 뻔하다느니 너무나 예측가능 하다느니 하는 코난 빙의자들이 판을 침. 예상되더라도 그런 결과를 이끌어가는 장치들과 복선이 흥미로운거지 않은가? 나는 항상 내가 생각한 방향과 맞아 떨어졌다고 뻔해.. 그래서 구려라는 생각은 해본적이 없는데.  2. 여성이 약자로 나오거나, 지나친 폭력에 노출되는 것을 혐오함 - 이 외에 작금 다양한 사회적 갈등요소들이 투영되어 있는 부분을 극도로 수준 낮다고 하는데 다 떠나서 그런거 다 빼면 ㅅㅂ 무슨 재미로 영화 드라마 보냐... - 특히 여자가 당하는 장면이 있는 영화마다 악플을 다는 몇몇 회원의 과거 댓글들을 살펴보면 아주 가관임.. 걸캅스에는 개연성 어쩌고 얘기 안하더라.  3. 연기가 어쩌고 저쩐다는 댓글들이 판을 침 - 최고 다빈도 댓글로 이런거 제일 많이 봄 ""누구누구 연기빼면 아무것도 없는 영화"" 연기 얘기 아니면 뭐 할 말이 없는건가.. 연기하는게 직업인 연기자들이 작품에 잘 녹아들고 개쩔게 연기하는게 어찌보면 당연한 거 아닌가.  4. 이 모든걸 종합하자면 우리 방구석 연출가들의 고매한 수준에 부합하는 영화 드라마가 나오기는 쉽지 않아 보인다.",801,5.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,쵸쵸,스포일러가 있어요!!보기,13,1.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,minnn,스포일러가 있어요!!보기,13,0.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,그로밋,왜 넷플릭스에서 CJ 냄새가…,16,2.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,지민,나만 밤새고 몰아봣나 ?,13,5.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,라이언고슬밥,진짜 vip는 이걸 보고있는 우리가 아닐까?,24,5.0
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,한지효,평등 좋아하시네요,9,0.5
watcha,오징어 게임 시즌 1,SquidGameSeason1,2021,삼칠,감독이랑 작가는 미술팀 전부에게 석고대죄해도 모자르다 허접하다못해 쓰레기같은 개연성을 미술덕분에 예고편 어그로에 성공이라도 했으니까,73,0.5
