site,title,title_en,year,reviewer,review,review_length,rating
watcha,더 글로리 파트 1,The Glory Part 1,2022,이도나,(보기 전)  이거 그냥 우비초 블로그 송혜교밖에 생각 안 남  복수해야하는데 공문 놓쳐서 교감한테 개털리는 송혜교 복수해야하는데 업무에 치여 하루가 다르게 늙는 송혜교 복수해야하는데 커피믹스 먹고 살찐 송혜교 복수해야하는데 6학년한테 쌍욕 먹고 복수 대상 바뀌는 송혜교 복수해야하는데 연구학교 선정된 연구부장 송혜교 복수해야되는데 100대교육과정 짜는 송혜교 복수해야하는데 에듀파인 틀려서 야근하는 송혜교 복수해야하는데 전기방석 쓰다 걸려서 행정실장한테 까이고 궁뎅이에 핫팩붙이는 송혜교 복수하게 1학년 지원했더니 1부장 된 송혜교 복수해야하는데 입학 유예해서 못만나는 송혜교 전 담임이 쓰레기처럼 쓴 교실 청소하는 송혜교 동학년끼리 싸움 난거 말리다 기빨린 송혜교 드디어 복수의 기회가 왔는데 관내만기로 타학교 튕기는 송혜교 4년뒤 돌아왔지만 코로나때매 줌수업만 하는 송혜교  김은숙 작가는 대체 초등학교 교사가 어떻게 이 일과 중에 처절한 복수를 할 수 있다고 가정한 걸까..?  (보고 난 후)  다 납득이 된다 미친 드라마... 빨리 파트2 줘 멋지다 동은아~!! 파이팅 문동은~!!,555,4.5
watcha,더 글로리 파트 1,The Glory Part 1,2022,BabyBlueNotes,"빨리….3월………… 복수 진행시켜,,,",21,4.5
watcha,더 글로리 파트 1,The Glory Part 1,2022,글로벌 드덕,"""우리 같이 천천히 말라 죽어보자.""  잘못은 학폭 5인방이 했는데 시청자들이 파트 2 기다리느라 천천히 말라 죽게 생김. 파트 1은 뜸 들이다 밥솥 뚜껑 막 열었을 때 끝남.  -  ""오늘부터 모든 날이 흉흉할 거야. 자극적이고 끔찍할 거야. 막을 수도, 없앨 수도 없을 거야. 나는 너의 아주 오래된 소문이 될 거거든.""  너와 함께 한 모든 날이 좋았다던 도깨비 이후로 찾아 온 흉흉한 복수자 문동은.  염혜란이 합류하는 3화부터 조금씩 재미가 붙기 시작하고 7화부터 본격적으로 재미있어지는데 이걸 8화에서 끊네ㅜ아직 복수 시작도 안 했는데!!!ㅠㅠㅠㅠ 파트 2는 내년 3월 공개 예정이라고 한다.  <종이의 집> 한국판 파트 2 보면서도 느낀 건데 넷플릭스 오리지널 한드는 <오징어 게임>처럼 그냥 완결까지 쭉 한 번에 공개하는 방식이 훨씬 나은 것 같다.  진입장벽을 짚고 넘어가자면 개인적으로 1화에서 첫 30분까지의 분량이 너무 괴로웠음. 문동은에게는 나중에 고기 굽는 소리도 트리거가 될 정도로 잔인했던 봉고데기 장면. 보는 내내 속이 울렁거렸다.  제작진이 넷플릭스라서 각 잡고 자극적이게 만든 것 같은데, 대한민국 한복판에서 총격 싸움이 벌어지는 강력 범죄보다 봉고데기와 다리미로 가해지는 폭력이 더 보기가 고통스럽다. 미성년자 대상에 현실에서 더 가깝게 다가오는 범죄라 그런 듯.  물론 복수의 당위성을 위해서는 악행 전시가 필수적이고 현실이 드라마보다 더한 세상이지만.  30분 정도 지난 뒤에는 그래도 그나마 나아짐. 공장 동생의 까치발 총총이 1화에서 유일하게 힐링이던 장면. 교사가 학생의 뺨을 연속으로 수차례 후려갈기는 걸 보고 이질감을 느꼈다가 다시 생각했다. 아, 2004년이지.  + 보면서 대형 교회 담임 목사 딸이 학교 폭력 가해자에 약쟁이로 나오는 드라마에 장소 제공을 해준 교회가 제일 대단하게 느껴졌다.ㄷㄷ  ++ 좋았던 것:  1. 손명오에게 좋아해서 그랬다는 서사를 주지 않은 것 재회한 문동은과도 그쪽으로 엮이지 않은 것  2. 불필요한 폭력 전시의 희생양이 될까 내내 조마조마했는데 미취학 아동과 개만은 굳이 건들지 않은 점",1049,4.5
watcha,더 글로리 파트 1,The Glory Part 1,2022,라즈베리초코,너무너무 좋은데.. 로맨스가 왜 필요하죠? 네?  + 이도현과 송혜교가 극 중 한 살 차이인 건 조금 에러다.  + 신예은의 발견  + 성희가 까치발 드는 장면에서 왠지 모르게 눈물났음. (동은이가 살면서 처음 받아보는 배려와 사랑같아서)  + 로맨스 나올 때마다 다른 드라마 보는 느낌..ㅜㅜ  + 도영X동은 조합이 더 맛도리임,184,4.0
watcha,더 글로리 파트 1,The Glory Part 1,2022,윤제아빠,이런 날카로운 연기에 쌈빡한 편집까지.. 어쩌면 뻔한 학폭과 그로인한 복수인데 다르다.. 달라. 구질구질하지않다. 깔끔하지만 섬세하게 살을 도려내 금새 뼈에 따다르는 숙련된 해체사의 칼놀림에 홀려 시간이 멈춘듯... 빨리내놔..Part2...ㅜㅜ . . #송해교는젊음을잃고연기를얻었구나 #제발학폭은사라졌으면하지만세상은 #어쩌면절대벗어날수없는늪이아닐까,195,4.5
watcha,더 글로리 파트 1,The Glory Part 1,2022,Sinclair,"‘복수는 차갑게 식혀 먹어야 가장 맛있는 음식이다’  삶에서 ‘용서’도 필요하겠지만, 증오가 그리움을 닮아, 그것을 끝내 잊을 수 없다면, ’복수‘를 통해 꼭 이기길 바란다.",97,4.5
watcha,더 글로리 파트 1,The Glory Part 1,2022,박서영,얼마나 아프고 고통스러웠을까... 드라마를 보는 내내 학폭으로 힘들어 했던 문동은의 삶의 전부를 던진 복수에 응원해 주고 싶었다 처음부터 끝까지 집중하게 하는 연출력 덕분에 몰입감이 대단했고 파트2를 기대하게 했다,119,4.0
watcha,더 글로리 파트 1,The Glory Part 1,2022,미상.,"폭력을 전시하는 카메라에 10분만에 혐오감이 들지만 일단 보자. 각 종 폭력과 성적인 카메라로 짜증을 부른다. ———————————————————————— 재미는 있지만 그래야 했을까라는 생각과 함께 종종 끊기는 흐름. 일단 재미는 있다. 그런데 느낌은 여전히 TV의 드라마와 문법이라는 느낌이다. 몰아치는 OTT시리즈보다는 쉬어가는 공간이 많은 TV의 문법에 가깝다. 그래서 몰아보기도 몰아보기지만 TV드라마처럼 끊어봐도 괜찮은 느낌이 든다. 쉬어가는 공간의 대표적인 부분은 주여정과의 로맨스, 현남과의 워맨스다. 로맨스는 잔인한 복수극에서 뭔가 다른 느낌을 준다. 멋진 왕자님이라는 김은숙 특유의 느낌을 잘 살려주며 그 대사발도 느껴지는 후배님과의 관계다. 현남도 마찬가지다. 코미디라고는 없는 드라마 속에서 감초역을 하며 잠시나마 웃음을 준다. 그러나 이 쉬어가는 부분은 몰아치는 복수극에서 쉬는 틈을 주지만 뜸금없음과 맥끊임을 선사하는 느낌도 분명 준다. 분명 TV였다면 대중적인 재미와 잠깐의 화장실 타임일 수도 있지만 OTT에서는 굳이 라는 느낌을 주기도 한다. 쉬어가는 건 아닌데 쉬어가는 느낌을 주는 공간도 많다. 심하디 심한 악행들이 휘몰아치다보니 특히나 1화와 2화에서는 별로 악행이 아닌 부분이 오히려 완화를 주는 이상한 감정을 준다. 또한 과도한 폭력성 또는 막장 드라마스러움도 보기에 따라서 거부감을 준다. 물론 목적성은 분명해 보인다. 학교폭력이라는 타인에게 씻을 수 없는 상처, 이른바 상류층이라고 불리는 사람들의 위선, 그리고 그들을 따라가기 바쁜 하류층의 천박함 등 문제시 되는 시선을 담는 방법이라는 것은 알겠다. 하지만 모든 것을 그대로 보여줄 필요는 없다. 손쉬운 방법이지만 하수의 방법을 택했다는 것은 분명 칭찬 받을 점은 아니다. 다만 이 드라마의 파트1으로 파트2가 남아있다는 점. 파트2가 공개되어야 온전히 하나의 작품으로 평가가 가능하다는 점. 그리고 파트2를 보고 싶은 마음이 든다는 점은 마냥 호평도 혹평도 줄 수 없게 한다. [2023. 1. 2 월요일]",1010,3.0
watcha,더 글로리 파트 1,The Glory Part 1,2022,까망콩,"김은숙 작가는 매운맛도 되는구나. 눈물로 자기비하하며 종국에는 가해자마저 용서하고 마는 수동적 캐릭터 대신, 20년의 세월을 건조하게 쌓아올려 복리로 갚아주고자 하는 주인공의 앞길을 응원할 수밖에 없다. 2부 가 시급함.",123,3.5
watcha,더 글로리 파트 1,The Glory Part 1,2022,푸코,가해자들이 정말 잘살고 있네요. 현실도 이렇겠죠. 가해자들이 잘사는 세상.. 슬프네요,47,4.0
