site,title,title_en,year,reviewer,review,review_length,rating
watcha,부산행,Train to Busan,2016,이은지,관람 전:드디어 한국에도 이런 영화가!  관람 후:한국 영화 맞네ㅇㅇ,38,3.5
watcha,부산행,Train to Busan,2016,숴여늬,가장 안전한 좌석은 마동석 !,16,4.0
watcha,부산행,Train to Busan,2016,이동진 평론가,'열어주지 않는 문'의 공포. 넘치는 에너지와 호쾌한 스피드를 만끽하고도 결국 남는 것은 처연함.,54,3.5
watcha,부산행,Train to Busan,2016,rol,발암아저씨 : 흐악 이새끼 감염됐어! 눈 봐바!! 공유 : (클로즈업 된다) 존잘,45,2.0
watcha,부산행,Train to Busan,2016,지예,"'저 아저씨 누가 좀 좀비한테 던져줬으면.' 하고 생각한 자신을 발견한 순간이 가장 끔찍했습니다.       - 난 발암캐가 너무 싫다. 정확히는 '실제로 저런 사람이 있을 수도 있겠다'고 합리화를 부여하는 과정이 싫다. 그건 결국 '누군가는 그렇게 사니까'라는 인식으로 귀결되고 너무나 쉽게 '그러니까 나도'가 될 수 있다고 생각한다.         특히나 밑도 끝도 없이 '죽어도 싸다' 싶은 캐릭터를 보면, 내가 죽어도 싼 인간이 되어도 좋으니 저 인간만큼은 죽어줬으면 싶다. 그 순간, 나를 대신한듯한 할머니의 놀라운 행동 앞에 얼마나 내적박수를 쳤던지. 카타르시스라는게 이런건가. 마음이나 육체가 썩어버린 생물보다 마음도 육체도 건강한 잔인함이야말로 진짜구나 싶었다.       - 동대구역 좀비떼샷bbb 명장면이자 혐장면이다. 기차를 붙잡고 늘어지는 좀비만큼이나 질질 끄는 신파가 있긴한데, '질질 끈다'는 점이 싫은거지 그 전개 자체가 싫은 건 아니었다.      영화는 '판도라의 상자'와 같다. 부산행 열차가 출발함과 동시에 재앙이 쏟아지고, 사람들은 해악과 불행의 소용돌이에 휘말린다. 그리고 마지막에 남는 것이 까마득하게 잊고 있었던 감정이다. 폭발적으로 차오르는 그 감정.       ""가지 마, 내가 잘못했어.""      나는 벅차고 또 벅차서 마음이 괴로웠다. 뜬금없는 회상씬이 없었더라면 영화관에서 대성통곡하는 관크를 저지를 뻔. 개봉하고 2차인데도 그 부분은.. 수안아 넌 정말 잘했고. 최고였어ㅠㅠ      - ps : 아 근데 큰일이다. 8월에 부산 가기로 했는데.. 무서워...",790,3.5
watcha,부산행,Train to Busan,2016,권순범,좀비영화에 자꾸 한국영화의 고질적인 요소를 끼워넣으려고 애를 쓴다. 결국 그 요소들이 영화를 멍청하게 만든다.,61,2.5
watcha,부산행,Train to Busan,2016,유지철,감성팔이할 시간은 꼬박꼬박 챙겨주는 친절하고 정이 넘쳐나는 한국형 좀비들.,41,2.5
watcha,부산행,Train to Busan,2016,강탑구,"좀비보다 더 무서운건, 살아남기 위해 물불 가리지 않는 이기심으로 무장한 지독한 인간 군상의 모습",54,3.0
watcha,부산행,Train to Busan,2016,김병우,좀비 블록버스터와 사회악의 아포칼립스,20,4.0
watcha,부산행,Train to Busan,2016,HBJ,"월드워Z의 발작성 빠른 좀비를 차용하여 기차라는 밀폐된 공간의 타이트한 액션과 각 광역시들의 개방된 블록버스터 액션을 번갈아가는 세련되고 독창적인 장르영화. 다만 휴머니즘과 선악구도가 장르적 스릴에 비해 밋밋하다.   -------------이 아래부터 스포주의-------------   영화의 구조는 매우 명확하고 단순하게 나뉘어있다. 서울-대전, 대전-대구, 대구-부산 구간들이 각각 1,2,3막을 구성하고 모두 역에서 개방된 액션 이후 기차 안 폐쇄된 액션의 패턴을 반복한다. 이렇게 꾸준히 장소의 특성을 바꾸면서 관객은 시각적으로 지치지 않고 영화가 끊임없이 움직이고 있다는 느낌을 주게된다. 뿐만 아니라 실제 서울-부산 구간이 KTX로 2시간 반 정도 걸린다는 것을 고려하면 (영화상 상당 구간을 무정차 전속력으로 기차가 운행함을 암시한다) 이 영화는 거의 실시간으로 진행한다는 점이 인상적이다.     1막의 중반부에 드디어 좀비가 본격 등장하며 본 스토리가 시작한다. 그리고 1막의 나머지 시간에서 영화는 이 위협의 심각성을 시각적으로, 효율적으로 전달한다. 우선, 모든 좀비물의 시작이 그렇듯이, 최초 희생자들은 아무것도 모른채로 당한다. 하지만 그렇게 당하는 사람들은 대략 4~5명 정도고 그 쯤부터는 승객들이 위험을 감지하고 도망치기 시작한다. 그럼에도 불구하고 어마어마한 감염속도와 좀비 자체의 민첩함 때문에 기차라는 비좁은 공간은 순식간에 좀비들로 가득찬다. 그리고 2막 중반까지, 아니 영화 전체에서 좀비들이 죽는 모습을 볼 수 없다. '뇌의 파괴가 좀비를 죽일 수 있는 방법을 안 주인공은 좀비들을 헤쳐나가기 시작한다'라는 거의 필수요소처럼 된 좀비물의 클리셰를 안 보여줌으로써 이 좀비들이 주인공 일행의 상황에서는 사실상 무적이라는 것을 암시한다 (고교 야구선수가 머리에 빠따질을 해도 다시 일어난다!). 대신 2막에서 좀비들이 시각과 청각에만 의존한다는 것을 알려주며 그를 약점으로 이용하며 더 긴장감 넘치게, 스텔스 잠입 게임의 스릴을 재현한다.     이 영화는 월드워Z 같은 좀비를 이용해도 (28일후의 좀비도 빠르지만 이쪽이 더 유사한듯하다) 이야기의 진행은 사건 위주가 아닌 캐릭터 위주다. 즉, 인물의 목적이 이야기를 진행시킨다. 그 목적은 뭐 뻔하고 당연하다 : 생존. 여기서 생존은 인물마다 의미하는 바가 다르다. 대부분의 인물은 자신의 생존을 우선시한다. 특히 김의성은 극도로 이기주의적인 인물로 그려지며 오로지 생존을 위해 누구든 얼마든지 희생시킨다 (이미 2막에서 아역배우 김수안포함 주인공 일행을 사실상 죽인 거나 다름없다). 여기서 가족이 영화 속에 같이 있는 공유와 마동석은 자신의 생존도 중요하지만 최우선은 가족의 생존이고, 결국 둘 다 자신의 가족, 그리고 나머지 일행을 위해 목숨을 희생한다. 여기서 신파라는 비판이 나올 수 있으나 내용적으로 신파라고 개인적으로 느껴지진 않는다. 물론 각 희생은 비극적이고 매우 슬프나 이런 일은 좀비물에서 (워킹데드 팬들한태 이 정도 비극은 명함도 못 내민다) 흔하고, 좀비 아포칼립스의 극초반이기에 이런 참상을 갑자기 경험한 인물들에게 잔인한 사별은 상상을 초월하는 절망감을 안겨줄 것이라고 나름 이해할 수 있다. 다만, 슬픈 BGM과 슬로우모션만 없었다면 거부감이 덜하지 않았을까라는 아쉬움은 있다.   공유와 마동석은 비슷한 목적으로 비슷한 루트를 따라간다는 점에서 캐릭터가 심하게 겹친다. 공유는 2막 초반까지만 해도 김의성과 비슷한 점이 많았으나 마동석, 최우식과 다니며 마동석의 '올바른' 성격으로 성장을 한다. 이러한 성장은 노숙자 캐릭터에게도 해당되는 점이 있다. 이 성장 자체는 인간 본연의 사회성, 공감능력이 있기에 설득력은 있지만, 이 때문에 2막 중반부터 마동석과 공유는 너무 비슷한 캐릭터가 된다. 여기서 관객에게 더 강렬하고, 친숙하고, 매력적인 마동석이라는 배우의 존재감 때문에 공유의 캐릭터는 비교적 약하게 보일 수 밖에 없고, 그가 주인공인 이 영화에서 이는 치명적인 약점이 될 수 있다. 마동석은 결국 2막에서 멋있게 죽지만... 멋있게 죽어서 그의 공석은 공유만으로 결국 못 메워진다.    이외에 최우식-소희와 두 할머니들의 반응도 나름 흥미롭다. 정확히 말하자면 자신의 친구가 죽어가는 것을 목격하는 최우식과 어린 할머니가 흥미롭다. 최우식은 고교 야구팀에 속해있고 눈 앞에서 팀원 전원이 사망하는 것을 목격한다. 더 나아가 2막에서 좀비가 된 팀원들이 자신의 일행을 위험에 빠뜨리고 있는 것을 보고도, 그는 얼어 붙는다. 최우식은 친구들의 죽음을 매우 무겁게 담고 있다는 것이다. 그 와중에 결국 자신을 짝사랑?연애? (소희-최우식의 관계가 정확히 어떤진 모르지만 일단 최소한 소희는 그를 좋아한다) 하는 소희마저 지키지 못하고 눈 앞에서 변해가는 것을 본 그는 완전히 무너져버리고, 도망은 커녕 울면서 삶의 의지를 포기한 듯, 소희가 물도록 놔둔다. 어린 할머니는 김의성 및 다수 승객의 이기심에 희생된 언니 할머니의 좀비 모습을 보며, 한심하게 왜 그렇게 착하게 살았냐고 말은 하지만 공유와 비슷하게 분노의 감정에 휩쓸린듯이 문을 열고 자신을 포함, 열차칸의 승객을 전원 희생시키면서 일종의 복수극을 연출한다. 이렇게 이 영화는 다양한 인물들을 선보이며 각자 다른 반응으로 이 극한 상황을 대처하는 모습을 보여준다는' 점도 인상적이고 워킹데드 같은 미드 말고 영화에서는 보기 드문 점이다.   대부분 코멘트를 보니 3막이 가장 약하다는 의견에 많은 사람들이 동의하는 것 같다. 클라이막스가 결국 공유와 김의성의 1대1이라는 점, 공유의 드라마틱한 죽음, 그리고 터널의 뜬금없는 노래. 영화 후반에 이 세가지가 갑자기 휘몰아치며 전개가 매우 어설퍼진다. 죽음과 시체가 난무하는 세상의 어두운 터널을 뚫고 부산이라는 약속의 땅으로 구원받는 거의 절대선 같은 정유미와 김수안 캐릭터의 마지막 씬은 나름대로의 시적 의미와 요약은 있으나 그 노래는... 좀 실망스러운 결말 전개였다.     하지만 결론적으로 2시간동안 숨을 쉴 수 없는 긴장감을 느끼며, 인간적인 요소들이 비교적 취약해도, 기본적으로 장르적인 재미와 치밀함은 웬만한 할리우드 영화들보다도 낫다는 감상평을 남기며 이런 수준의 대작 영화를 한국에서도 만들 수 있다는 것은 분명 희망적인 징조일 것이다.",3077,4.0
