site,title,title_en,year,reviewer,review,review_length,rating
watcha,야차,Yaksha: Ruthless Operations,2022,윤제아빠,잘난척 좀있는척 정의로운척 중국스러운척 헐리우드스런척 후까시공공칠인척 . . #넷플릭스돈이많네막쓰니좋네 #돈으로쌓아올린뽀대나는공성 #척척쌓아봤자멋진성들이넘쳐,87,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,박서하,"죽어주려고 작정한 악당, 오글거리기로 작정한 주연.",28,1.5
watcha,야차,Yaksha: Ruthless Operations,2022,다솜땅,"시작하자 마자 ""이거 돈 많이 들인 영화야""하는 뉘앙스가 가득 풍겨난다. ㅎ 물론, 전체적인 느낌은, 아주 아주 잘 만든 TV드라마 느낌이지만, 특별판으로 극장 개봉한 느낌. ㅎ 설경구 보다 박해수, 생각이상으로 안정적인 느낌이다. ㅎ #22.4.8 (434)",145,3.5
watcha,야차,Yaksha: Ruthless Operations,2022,영화 볼 결심,야차를 그대로 영어 키보드에 치면 dick ...이 영화는 ㅈ 같을것 같습니다,43,1.0
watcha,야차,Yaksha: Ruthless Operations,2022,Kk,한국의 장르 영화 단점들을 골라모아서 영화를 만든다면 그게 야차. 오그라든다는 감정을 온전히 느끼고 싶다면 이 영화를 추천.. . 진짜 구린 대사 모음집이 충무로에 존재하나보다.,99,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,김호진 펠릭스,쓸데없이 후까시 잡지만 알고보면 친절한 설경구랑 무술 하나 정돈 교양으로 배워 놓으라는 설득력 없이 정의로운 박해수가 사실 이게 뭔가 싶은 사건에 휩쓸렸다가 마지막에 k슬로우 모션과 k처절한 싸움으로 마무리되는 엉성한 넷플릭스 팝콘 무비 . (보기 전) 오…설경구 오….박해수 우와아아아아 양동근!!!!!!! . 양동근 진짜 연기 잘해 크,189,2.5
watcha,야차,Yaksha: Ruthless Operations,2022,영화보고 밥먹고 커피마시고 산책해요,"과하고.. 뻔하고.. 엉성하고.. 솔직히 디게 별론데, 이상하게 볼만은 해 ㅋㅋㅋ 너무 기대를 안해서 그런가.. #인사 잘한다 개그(?)는 의외에 피식~ 포인트.",90,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,리얼리스트,장르적인 쾌감. 캐릭터의 힘. 공간의 매력 중 어느 것도 제대로 하는게 없는듯 넷플릭스의 구원투수 박해수도 힘이 이상하게 들어간 설경구도 힘겹다,80,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,이건영(everyhuman),"같은 내용, 다른 인물.",13,2.5
watcha,야차,Yaksha: Ruthless Operations,2022,겨울비,웃기지 않는 유머에 살짝 찡그려지다가 박진영 나오면 방긋,31,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,Niknik,브루스윌리스와 아놀드슈왈제네거가 좋아했던 드레스코드. 하지만 우리는 2022년.,44,1.5
watcha,야차,Yaksha: Ruthless Operations,2022,수진,"도찐개찐이다. - 정의를 중시하는 한지훈 검사는 자신의 정의를 고수하다가 결국 국정원 법률보좌관실로 좌천당한다. 그런 그에게 좌천을 벗어나 원대 복귀할 기회가 주어지고, 그것은 중국에 위치한 국정원 지부장 지강인의 행태를 파악하는 일이다. 한지훈은 임무를 달성하기 위해 수단을 가리지 않는 '야차' 지강인을 만나기 위해 중국 선양으로 떠난다. 투톱 주인공을 내세운 첩보 영화로서 동북아 정세와 연결시킨 전반부는 나름 흥미로운 영화다.  해결을 위해 방법을 가리지 않는 인물과 정의는 정의롭게 지켜야 하는 인물 간의 오묘한 버디 무비는 둘 간의 케미스트리가 적절히 발휘되며 나름 보는 맛이 있다. 따로 설명되지 않더라도 은근히 서로가 필요한 관계로서 드러나기도 하고, 첩보 영화로서 첩보 과정의 탄탄함이 크게 느껴지는 것은 아니지만 유려한 촬영과 함께 동북아시아 국가들의 관계와 균형을 드러내며 영화에 벌어지는 상황 속에서 적잖이 복잡한 힘이 오가고 있음이 드러나는 구석도 흥미롭다.  다만 '생쥐' 작전을 시작으로 하는 후반부부터 그 힘의 저울이 몹시 어색해지기 시작하며, 상투적인 선악 구도로 변질되는 흐름 속에서 비현실적이고 무리수에 가까운 상황들이 연신 던져진다. 남북중일 4개국 간의 첩보와 관련해 전반부에 판을 잘 깔아뒀기 때문에 후반부에는 그를 이용해 물고 물리는 난전을 전개했다면 고루함을 벗어나 훨씬 더 오락성 있는 영화가 되지 않았을까 하는 아쉬움이 개인적으로 남는다.",719,2.5
watcha,야차,Yaksha: Ruthless Operations,2022,크리스 X 엔터테인먼트,치트키를 사용한 비디오게임 주인공들처럼 너무 일이 수월하게 잘풀리는 전개에 김이 빠졌고 여러 요원의 팀플레이라기보다는 거의 2명+병풍들 같은 느낌이라 다른 캐릭터들도 좀 더 활약을 했으면 하는 아쉬움이 크다.,116,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,Jay Oh,"아차...! 은근 개성 없는 영화. Flashy, sans personality.",45,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,영화는 나의 힘,또 다른 '선수입장' 장르의 아류작. 최동훈이 여럿 망쳐놨다.,34,1.5
watcha,야차,Yaksha: Ruthless Operations,2022,임판호,넷플이 또 구원해낸 토종첩보물. 덧! 여러 국가들의 아귀다툼을 내세우며 각축전을 벌이며 물고물리는 첩보물까지'도' 안바랐고 그저 팝콘무비로써의 오락성만을 바랐는데 그것도 만족하질 못했네요. 국제법도 어겨가며 여기저기 총질하고 폭발하면 다 첩보물인줄 아냐?! 그리고 똑같은 대사 좀 그만해에에!(이러다 영화 다~주거~) 덧덧! 쿠키때문에 괘씸해서 별반개 더 내린건 '뺑소니전담반' 이후 오랜만이네..,222,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,인생은 한편의 영화,영....,5,4.5
watcha,야차,Yaksha: Ruthless Operations,2022,(Ro6),한국 첩보의 기반을 다지는 영화가 되길 흥미진진 하며 다른 나라의 잘 만들어진 첩보 영화와 비교해도 손색이 없을 정도.,66,3.5
watcha,야차,Yaksha: Ruthless Operations,2022,신상훈남,"""내가 입버릇처럼 항상 하는 말이 있어. 정의는 정의롭게 지켜야 돼.""  ""너가 생각하는 정의가 겨우 그것밖에 안 되는 거냐. 정의는 무슨 수로 써서라도 무조건 지켜내야 되는 거야. 나한테는 그게 정의야.""  재미없어 보여서 아예 보지 않는 영화는 그리 싫다는 느낌을 주지 않는다. '안 봤으니까.' 안 봤다는 명목 하나로 그 영화는 그 어떤 비난과 혹평으로부터 면책된다. 이것은 당연한 것이다. 하지만, 영화 시장에서 '대놓고 재미없어 보이는 영화'는 결코 살아남지 못한다. 즉, 돈이 되지 못한다. 적절히 재미있어 보여야 하고, 완벽하게 재밌으면 금상첨화지겠지만 그런 영화를 제작하려면, 상상도 할 수 없는 노력과 끈기가 있어야 한다. 그러나, 대개 영화들이 그렇듯, 초중반만 그럴 듯하게 만들어놓고 이내 고꾸라진다. 이 영화도 마찬가지다. 초중반 재미있게 만들어놓고, 그럴 듯하게 포장해놓고, 사람들이 좋아하는 배우 세워놓고. 나태하게 마무리 짓는다. '이 정도면 돈 좀 끌어 모으겠지.', '이 정도면 화제되겠지.'식의 연출은 더 이상 그만 봤으면 한다. 영화를 정말 좋아하는 사람으로서, 영화를 보는 많은 사람들이 나처럼 영화 보는 일에 대해 지치지 않았으면 한다.  우리나라에서 '첩보'라는 주제를 가지고 이 정도의 재미를 끌어모은 것은 잘한 게 아니냐고 말할 수도 있다. 결코 쉬운 장르는 아니니까. 그러나 내 생각은 조금 다르다. 어려운 길을 도전한다고 칭찬하는 것은 영화 제작자 입장에서 이 처참한 평점이 겨우 '어려운 거였잖아. 이 정도면 잘했어.'라는 합리화거리밖에 되지 않는다. 그리고 우리나라의 영화 수준은 점점 발전하고 있다고 생각한다. '첩보물'이라든지 '화려한 액션물'이라든지 더 이상 거리가 먼 장르로 결부될 필요없다고 생각한다. 충분히 기대할 만하다고 본다. 그렇기에 '이 정도면 잘했어.'라는 평가는 하지 않기로 했다.  [이 영화의 명장면]  1. 좌천 그 이후  열정이 풍부했던 검사는 대기업을 잘못 건드려 나락으로 떨어지게 된다. 다시 복귀할 것이라는 야망은 품은 채 법률보좌관으로 발령이 난다. 그런데, 이 직업 심각하게 하는 일이 없다. 먹고 쉬고 졸고. '이러면서도 돈이 벌리나' 싶을 정도로 심히 편안해 보인다. '이걸 왜 명장면으로 뽑아?' 의아하겠지만 지금의 내 상황과 별반 다를 게 없어서 무척이나 공감이 됐던 장면이다. 나는 사회복무요원으로 중학교에서 근무를 하고 있는데, 이건 뭐 '일 좀 그만하고 싶다.' 이런 게 아니라 '일 좀 하고 싶다...'에 가까우니 왠지 모르게 이 장면이 정이 갔다. 실제로 계속 돌려봤다.  2. 폭발한 검사  공부만 한 검사겠거니 선보이는 액션은 없을 거라 짐작했다. 여태 검사가 가졌던 영화적 설정에 '싸움을 잘한다' 같은 건 없었으니까. 그런데 불법적인 일을 아무렇지도 않게 여기는 사람들 앞에서 제대로 폭발한다. 훈련과 전투를 수없이 겪어온 팀원들 상대로 결코 밀리지 않는데, 이 때 느꼈던 카타르시스가 아직도 생생하다. '약한 줄 알았던 자'가 유도를 베이스로 한 액션을 머금으니 너무 좋다. 그렇다고 마냥 강력한 건 아니고, 전술적인 부분에선 완전히 초급자 수준에 무기도 제대로 쓸 줄 모르는 디테일이 좋았다. 목표물을 놓쳐서 화가 머리 끝까지 난 야차와 빗속에서 주먹을 섞는 장면도 일품이었다.  재미는 있었으나, 정말 시간만 보낸다는 느낌이 드는, 그런 친절하지 않은 영화였다.",1667,3.0
watcha,야차,Yaksha: Ruthless Operations,2022,강중경,찌르레기 폴더를 미처 지우지못하고 죽은 친구의 명예를 위해 펼쳐지는 동북아 스파이들의 피 안튀기는 무지 약한 15세 관람등급 액쑌무비. 난장판 클라이막스도 문제지만 피 좀 튀길라고 하면 페이드아웃이냐?,112,2.5
watcha,야차,Yaksha: Ruthless Operations,2022,청소년관람불가,중국영화 보는줄 알았네,12,2.5
watcha,야차,Yaksha: Ruthless Operations,2022,P1,야차에 어울리지 않는 내용이였다. 왓차라고 했으면 그나마 그러려니 하고 넘어갔다. what car 번역: 이게 무슨 똥차야?,69,1.5
watcha,야차,Yaksha: Ruthless Operations,2022,DarthSkywalker,시대착오적이라는 말도 도저히 써줄 수 없는 '비'첩보물.,31,1.5
watcha,야차,Yaksha: Ruthless Operations,2022,스탕달,"흑.. 몇몇 괜찮은 액션 장면, 그리고 생쥐작전이 어이없어서 기억남. 편집했을라나?  시사회로 본지가 언젠데... 나름 함구하고있었는데 결국 넷플릭스행이구나..  굿럭~!!",96,2.5
watcha,야차,Yaksha: Ruthless Operations,2022,슬기로운 영화생활,"오랜만에 동창회 간다고 옷 쫙 빼입고 힘 잔뜩주고 나간자리에서 친구들한테 핀잔만 들었는데, 본인은 왜 자기가 젤 멋진데 핀잔들은지 모르는 느낌. ㅋㅋ",83,3.0
watcha,야차,Yaksha: Ruthless Operations,2022,Random cul,킬링타임용으로 좋았다. 오글거리고 답답하고 질질끌고 하지만 그래도 그냥. 아무생각 없이 보기에는 나쁘지 않았다.,62,2.0
watcha,야차,Yaksha: Ruthless Operations,2022,나쁜피,보다 멈추다 보다 몸추다 볼까? 봐야하나? 2022-04-15~ 넷플릭스,40,1.5
watcha,야차,Yaksha: Ruthless Operations,2022,이진구,"파이팅 넘치는 킥오프 이후로, 전.후반 내내 공격 한번 없이 실점할 위기만 연달아 겪다가 끝난 경기 본 기분",60,1.5
